FF[0]	FF[1]	
2.16422	1.52043	
-0.208828	-1.08753	
0.272109	-0.0211171	
-0.974531	-1.50988	
-0.923906	1.20368	
0.594844	0.263964	
0.885937	-0.306198	
0.164531	1.3515	
-2.90461	-2.11171	
0.980859	0.263964	
1.51875	1.39373	
-1.34156	-1.98501	
1.47445	-0.200613	
-1.06312	-2.11171	
-0.139219	-0.137261	
0.493594	-1.15088	
0.215156	0.51737	
-0.847969	0.644073	
0.246797	0.770775	
1.18969	0.485694	
-0.411328	1.56267	
-0.335391	-1.19312	
-0.480937	0.485694	
0.272109	0.168937	
-2.2275	-0.717983	
1.04414	0.337874	
-0.613828	1.85831	
0.107578	-1.94278	
-1.96805	-1.172	
-2.17055	-1.31982	
-0.284766	0.263964	
-0.613828	1.86887	
1.48078	-0.211171	
0.316406	0.337874	
-2.53125	-2.11171	
0.620156	-0.380108	
0.145547	0.686307	
-1.79086	-0.0844685	
-0.670781	-0.137261	
0.961875	1.54155	
0.632812	-1.07697	
1.4175	0.263964	
0.329062	-0.14782	
0.0632812	1.20368	
0.297422	0.538487	
1.6643	0.59128	
0.164531	-0.380108	
-0.177187	-0.0211171	
-2.0693	-1.41485	
-1.82883	-0.168937	
-0.367031	-1.95333	
-0.265781	-1.11921	
-2.43	-0.274523	
0.784687	0.644073	
0.139219	-1.06642	
-0.499922	1.50988	
-0.398672	-0.527928	
-0.879609	0.559604	
-2.01234	-0.242847	
0.94289	-1.95333	
0.594844	0.580721	
1.03148	0.337874	
1.44914	1.76328	
-0.531562	-0.527928	
-1.48711	0.411784	
1.64531	0.580721	
-1.8668	-1.03474	
-0.164531	0.559604	
0.259453	-1.08753	
1.12008	1.77384	
-0.480937	-1.34094	
-0.816328	-1.172	
0.866953	-0.358991	
0.373359	0.81301	
-0.367031	1.42541	
0.980859	-0.116144	
0.94289	0.51737	
1.55039	1.37261	
1.41117	-1.15088	
-0.765703	-2.0378	
1.43016	1.90054	
0.499922	0.644073	
-1.63898	-2.20674	
1.07578	-0.559604	
0.246797	-1.19312	
-1.3732	0.538487	
-0.930234	-0.190054	
-1.89211	-2.11171	
-0.746719	-0.981947	
-1.31625	0.760217	
0.392344	-0.200613	
-0.936562	-0.454018	
0.784687	1.68937	
-0.468281	-2.90361	
-1.75289	-1.06642	
-2.53125	-0.401226	
0.189844	0.464577	
0.158203	-1.94278	
0.626484	0.559604	
-0.00632812	1.3515	
