FFn[0]	FFn[1]	
1.88912	1.40194	
-0.0607612	-0.842138	
0.328663	0.0876213	
-1.03294	-2.40959	
-0.654564	1.10987	
0.579993	0.296939	
0.803705	-0.175243	
0.234759	1.24617	
-2.26197	-1.73296	
0.886561	0.296939	
1.3257	1.28511	
-0.98875	-1.61613	
1.31741	-0.0778856	
-0.776086	-1.73296	
0	-0.0194714	
0.491613	-0.900553	
0.278949	0.530596	
-0.588279	0.647424	
0.306568	0.764253	
1.06884	0.501389	
-0.237521	1.44088	
-0.171236	-0.939495	
-0.298282	0.501389	
0.328663	-0.379692	
-2.73425	-1.73296	
0.941798	0.365089	
-1.08265	1.71348	
0.185045	-1.57718	
-1.50522	-0.920024	
-2.35035	-1.05632	
-0.127046	0.296939	
-0.3839	1.72322	
1.32294	-0.0876213	
0.336948	0.365089	
-1.96645	-1.73296	
0.602088	-0.243393	
0.218188	0.686367	
-1.35056	0.0292071	
-0.433614	-0.0194714	
0.90037	1.42141	
0.613135	-0.832403	
1.23732	0.296939	
0.378376	-0.0292071	
0.146379	1.10987	
0.350758	0.550067	
1.45274	0.598746	
0.234759	-0.243393	
-0.0331425	0.0876213	
-1.92779	-1.73296	
-1.3837	-0.0486785	
-0.198855	-1.58692	
-0.110475	-0.871345	
-1.87807	-0.146036	
0.745705	0.647424	
0.212664	-0.822667	
-0.314853	1.39221	
-0.226473	-0.379692	
-0.615897	0.569539	
-1.54389	-0.116828	
0.883799	-1.58692	
0.579993	0.58901	
0.930751	0.365089	
1.29532	1.62586	
-0.342472	-0.379692	
-1.1158	0.433239	
1.43617	0.58901	
-1.41684	-0.79346	
-0.022095	0.569539	
0.317615	-0.842138	
1.00808	1.6356	
-0.632469	-1.66481	
-0.56066	-0.920024	
0.817514	-0.223921	
0.417043	0.803196	
-0.198855	1.31432	
0.916941	0	
0.853418	0.530596	
1.3837	1.26564	
1.26218	-0.900553	
-0.51647	-1.66481	
1.27875	1.75243	
0.497137	0.647424	
-1.58255	-2.40959	
0.969417	-1.58692	
0.306568	-0.939495	
-1.01637	0.550067	
-0.660087	-0.0681499	
-1.43893	-1.73296	
-0.499899	-0.744781	
-0.966655	0.754517	
0.433614	-0.0778856	
-0.665611	-0.311543	
0.745705	1.55771	
-0.287235	-2.40959	
-2.35035	-0.822667	
-1.96645	-0.262864	
0.256854	0.481917	
0.229235	-1.57718	
0.607612	0.569539	
0.085618	1.24617	
