Fs[0]	Fs[1]	
5.76417	1.13664	
0.0928304	-1.00153	
0.19993	0.887357	
-0.590959	1.99917	
-0.478921	1.92237	
0.0376732	0.0733872	
2.09591	1.66999	
-1.02756	-0.292335	
-1.27165	-1.97782	
1.05213	1.37775	
2.55775	0.924012	
-0.478921	0.979422	
3.29145	-0.587915	
-3.25059	-0.684936	
-1.93542	-0.465231	
-0.146933	-2.42327	
0.103729	-1.69993	
-2.59806	0.831657	
0.157584	1.04949	
0.333363	0.538436	
-0.281991	2.63516	
-0.135004	-1.27025	
-1.50698	0.538436	
1.2826	-1.35792	
3.75472	0.623445	
0.0928304	-2.1451	
0.345774	3.16765	
-1.1379	-1.41845	
-3.50552	-2.4901	
-0.465231	0.894097	
-0.0415013	-1.10502	
4.14885	3.18595	
3.30329	-0.609007	
1.74646	0.237113	
-1.41212	-1.97782	
-2.09005	-2.20397	
-1.06373	-1.3508	
-0.548319	-0.367651	
0.0152908	-0.465231	
1.74058	1.17097	
0.103729	-0.976408	
1.08755	-1.10502	
1.38231	0.658903	
0.894743	1.92237	
-0.789707	-0.505414	
0.422303	0.736783	
0.0152908	-0.976408	
0.146897	2.26872	
-2.4866	-0.684936	
0.432214	-1.67638	
-1.2541	-2.77902	
1.06398	0.0974013	
-5.3896	-0.739822	
0.353358	0.831657	
-0.0300451	0.214323	
-1.55215	2.53552	
-1.32144	-1.35792	
-1.46273	2.03301	
-1.10339	-0.673474	
1.71001	-2.77902	
0.0376732	-0.425719	
1.14589	-0.927018	
0.719353	3.00082	
-1.62959	-0.153537	
-3.27273	-0.762379	
4.57659	-0.425719	
-1.84487	0.282139	
-0.866202	2.03301	
0.178837	-2.234	
2.59695	3.01955	
0.638352	0.835953	
-2.51576	-1.21374	
0.480173	-2.1451	
2.77694	1.11937	
0.869927	4.4208	
3.14802	-0.425719	
0.980305	-0.546299	
2.0079	0.887357	
0.665703	-1.15869	
-2.38999	-1.71465	
0.692636	5.49802	
-1.18878	0.831657	
-2.44064	-3.94508	
0.146897	1.06265	
-0.877346	-1.27025	
-0.548319	-1.65308	
-1.58279	-0.567014	
-4.83326	-1.97782	
0.943876	-0.762379	
-0.424822	-0.113487	
1.49054	0.558837	
-1.59828	-1.15869	
-0.674518	2.86835	
-2.70087	-2.37279	
-1.60723	-2.17434	
0.850322	0.144784	
-0.980246	-0.651783	
-2.18558	-0.206915	
1.16899	-0.465231	
-2.58136	-0.292335	
