H[0]	H[1]	
0.181818	-1.81818	
1.72727	0.515152	
-0.515152	0.30303	
-0.121212	-2.87879	
1.57576	-0.181818	
1.75758	1.12121	
0.787879	-2.15152	
2.06061	1.33333	
1.36364	0.848485	
-0.757576	-1.78788	
0.727273	-0.727273	
-0.242424	0.848485	
-2.0303	0.333333	
2	0.848485	
1.15152	0.878788	
2.36364	0.69697	
1.57576	0.393939	
1.57576	0.030303	
1.18182	0.393939	
2.24242	1.21212	
0.030303	0.121212	
-0.69697	0.939394	
2.06061	1.21212	
0.939394	-0.787879	
-3.93939	-2.78788	
2.45455	1.15152	
-1.66667	-0.848485	
0.151515	0.606061	
1.84848	1	
-3.48485	-0.515152	
1.36364	1.12121	
1.06061	0.454545	
0.727273	0.848485	
-3.57576	1.15152	
-1.21212	0.848485	
2.24242	1.09091	
1.42424	0.878788	
1.60606	0.848485	
1.33333	0.515152	
-0.121212	-1.0303	
1.57576	0.727273	
-0.484848	-0.333333	
1.75758	-1.15152	
0.121212	-2.72727	
2.15152	1.18182	
0.151515	0.787879	
-1.21212	0	
1.33333	0.30303	
-0.0909091	-0.969697	
1.78788	0.606061	
0.0606061	0.393939	
0.181818	0.242424	
1.45455	0.30303	
0.121212	0.757576	
1.21212	0.939394	
1.06061	-3.12121	
0.454545	-0.424242	
1.60606	-2.0303	
-1.09091	-1.60606	
1.78788	0.757576	
-0.424242	-0.515152	
0.939394	-0.30303	
1.48485	0.151515	
-1.09091	1.0303	
0.333333	-0.272727	
0.242424	0.939394	
0.878788	0.484848	
1.39394	-0.939394	
1.60606	0.878788	
-0.818182	-1.45455	
0.242424	-0.939394	
0.818182	1	
1.42424	0.787879	
0.69697	0.878788	
0.0606061	-1.90909	
1.60606	0.575758	
0.878788	1.12121	
0.878788	0.666667	
1.30303	0.69697	
1.06061	0.878788	
1.21212	-4.44089e-16	
0.757576	1.12121	
-0.030303	-1.06061	
1.69697	-2.87879	
2.27273	0.212121	
1.9697	0.0909091	
0.272727	0.545455	
1.12121	0.848485	
1.69697	0.454545	
1.69697	0.545455	
0.606061	-0.030303	
1.87879	-1.84848	
1.21212	0.484848	
1.39394	0.757576	
-3.84848	0.212121	
0.242424	-1.87879	
0.727273	0.424242	
1.48485	0.606061	
1.36364	0.878788	
2.15152	0.969697	
