H_norm[0]	H_norm[1]	
0.0865169	-1.46565	
0.82191	0.415268	
-0.245131	0.244276	
-0.0576779	-2.32062	
0.749813	-0.146565	
0.83633	0.90382	
0.374906	-1.73436	
0.980525	1.07481	
0.648877	0.683972	
-0.360487	-1.44123	
0.346067	-0.586261	
-0.115356	0.683972	
-0.966105	0.268703	
0.951686	0.683972	
0.54794	0.708399	
1.12472	0.561834	
0.749813	0.317558	
0.749813	0.0244276	
0.56236	0.317558	
1.06704	0.977102	
0.0144195	0.0977102	
-0.331648	0.757254	
0.980525	0.977102	
0.447004	-0.635116	
-1.87453	-2.24734	
1.16798	0.928247	
-0.793071	-0.683972	
0.0720974	0.488551	
0.879588	0.806109	
-1.65824	-0.415268	
0.648877	0.90382	
0.504682	0.366413	
0.346067	0.683972	
-1.7015	0.928247	
-0.576779	0.683972	
1.06704	0.879392	
0.677715	0.708399	
0.764232	0.683972	
0.634457	0.415268	
-0.0576779	-0.830537	
0.749813	0.586261	
-0.230712	-0.268703	
0.83633	-0.928247	
0.0576779	-2.19848	
1.02378	0.952675	
0.0720974	0.635116	
-0.576779	0	
0.634457	0.244276	
-0.0432584	-0.781682	
0.850749	0.488551	
0.028839	0.317558	
0.0865169	0.19542	
0.692135	0.244276	
0.0576779	0.610689	
0.576779	0.757254	
0.504682	-2.51604	
0.216292	-0.341986	
0.764232	-1.63665	
-0.519101	-1.29466	
0.850749	0.610689	
-0.201873	-0.415268	
0.447004	-0.244276	
0.706554	0.122138	
-0.519101	0.830537	
0.158614	-0.219848	
0.115356	0.757254	
0.418165	0.390841	
0.663296	-0.757254	
0.764232	0.708399	
-0.389326	-1.17252	
0.115356	-0.757254	
0.389326	0.806109	
0.677715	0.635116	
0.331648	0.708399	
0.028839	-1.53894	
0.764232	0.464124	
0.418165	0.90382	
0.418165	0.537406	
0.620038	0.561834	
0.504682	0.708399	
0.576779	-7.15969e-16	
0.360487	0.90382	
-0.0144195	-0.854964	
0.807491	-2.32062	
1.08146	0.170993	
0.937266	0.0732827	
0.129775	0.439696	
0.533521	0.683972	
0.807491	0.366413	
0.807491	0.439696	
0.28839	-0.0244276	
0.894008	-1.49008	
0.576779	0.390841	
0.663296	0.610689	
-1.83127	0.170993	
0.115356	-1.51451	
0.346067	0.341986	
0.706554	0.488551	
0.648877	0.708399	
1.02378	0.781682	
