Pwh[0]	Pwh[1]	
1.54386	0.458333	
0.285714	0.694737	
0.273859	0.507692	
0.375	6	
0.358696	1.15789	
0.584071	0.725275	
1.92233	1.28155	
0.294643	0.515625	
0.488889	1.03125	
0.895928	2.17582	
0.825	0.5	
0.358696	2.60526	
1.32441	0.584071	
0.407407	1.03125	
0.272727	0.554622	
0.314286	0.741573	
0.284483	0.573913	
0.336735	0.519685	
0.278481	0.47482	
0.259843	0.589286	
0.663317	0.891892	
0.938389	0.776471	
0.351064	1.17857	
0.547718	0.804878	
6	3.09375	
0.285714	0.673469	
0.790419	1.125	
0.306977	0.825	
0.437086	0.758621	
1.10924	1.80822	
0.30137	0.725275	
0.566524	0.745763	
0.66	0.589286	
2.17582	0.673469	
1.03125	1.03125	
0.286957	0.6875	
0.298643	0.503817	
0.368715	0.532258	
0.294643	0.554622	
0.464789	0.452055	
0.568966	0.6875	
0.883929	0.725275	
0.528	0.559322	
0.634615	1.15789	
0.269388	0.564103	
0.250951	1.08197	
0.294643	0.6875	
0.279661	1.01538	
0.488889	1.03125	
0.763006	0.568966	
0.320388	0.835443	
0.594595	0.717391	
0.458333	0.622642	
0.257812	0.519685	
0.3	0.680412	
0.356757	1.38462	
0.328358	0.804878	
0.34555	1.66387	
0.916667	0.605505	
0.234875	0.835443	
0.292035	0.545455	
0.28821	0.673469	
0.671186	1.18563	
0.366667	0.804878	
0.409938	0.628571	
0.761538	0.545455	
0.39521	0.66	
0.277311	1.66387	
0.276151	0.694737	
0.271605	0.785714	
1.05319	2.78873	
0.328358	0.758621	
0.490706	0.673469	
1.02724	0.461538	
0.961165	2.44444	
0.45993	0.545455	
0.306977	0.573913	
0.424437	0.507692	
0.456747	0.741573	
0.315789	0.929577	
0.226027	1.83333	
0.312796	0.519685	
0.481752	1.2	
0.559322	2.50633	
0.278481	0.776471	
0.73743	0.564103	
0.360656	0.578947	
0.404908	1.03125	
0.933962	0.628571	
0.351064	0.478261	
0.761538	1.16814	
0.362637	0.741573	
0.515625	1.2375	
0.347368	1.2	
1.10924	0.680412	
1.03125	0.702128	
0.289474	0.6	
0.295964	0.825	
1.42857	0.554622	
0.335025	0.515625	
