R2[0]	R2[1]	
0.259091	0.218182	
0.154785	0.151629	
0.168439	0.179812	
0.161589	0.276385	
0.123752	0.172727	
0.158975	0.133221	
0.150291	0.165179	
0.151037	0.193939	
0.119522	0.0990311	
0.161474	0.133221	
0.181818	0.2	
0.130988	0.226362	
0.219925	0.156736	
0.103286	0.172648	
0.157233	0.16479	
0.152775	0.121241	
0.162079	0.16699	
0.124528	0.184245	
0.160497	0.201663	
0.186154	0.162708	
0.126533	0.224242	
0.135012	0.142738	
0.125657	0.162708	
0.178059	0.143132	
0.276385	0.223175	
0.168943	0.142939	
0.158181	0.266667	
0.144518	0.136128	
0.102827	0.119139	
0.142961	0.176559	
0.157476	0.133221	
0.193084	0.268182	
0.220677	0.155405	
0.126812	0.142939	
0.114632	0.12835	
0.161923	0.134636	
0.148861	0.190035	
0.15833	0.17158	
0.14314	0.16479	
0.206038	0.221212	
0.163398	0.152572	
0.169697	0.133221	
0.174834	0.16344	
0.156369	0.172727	
0.166341	0.169852	
0.199242	0.177033	
0.156457	0.134636	
0.168461	0.197482	
0.108735	0.172648	
0.180886	0.160749	
0.137662	0.108172	
0.154077	0.148855	
0.0857635	0.147492	
0.181148	0.184245	
0.148137	0.153525	
0.123689	0.216667	
0.134296	0.117559	
0.121295	0.172721	
0.122503	0.151432	
0.20385	0.108172	
0.158975	0.175594	
0.167448	0.142939	
0.216919	0.25303	
0.133557	0.117559	
0.112604	0.152775	
0.19697	0.175594	
0.130688	0.156435	
0.16479	0.172721	
0.161957	0.127768	
0.177917	0.254545	
0.171024	0.224861	
0.127792	0.119139	
0.190796	0.137169	
0.17983	0.207498	
0.137662	0.204545	
0.208229	0.167498	
0.156997	0.16699	
0.228947	0.19697	
0.212412	0.146171	
0.126656	0.13126	
0.214665	0.272727	
0.153482	0.184245	
0.105657	0.0986013	
0.172681	0.227379	
0.160497	0.142738	
0.140813	0.169852	
0.116191	0.15807	
0.0817024	0.12835	
0.182329	0.139287	
0.16646	0.200207	
0.181976	0.176728	
0.129179	0.12594	
0.181148	0.242424	
0.120233	0.128019	
0.142961	0.130012	
0.15212	0.132123	
0.153943	0.159861	
0.150312	0.178505	
0.16266	0.172721	
0.131572	0.193939	
