TD[0]	TD[1]	
2.3238	1.17137	
0.234324	-0.481583	
0.422566	0.699101	
-0.801003	-1.83094	
-0.65041	0.15936	
0.140204	-0.616518	
-0.236279	-0.211712	
0.102555	0.631634	
-1.57279	-1.52733	
0.0460829	-0.616518	
0.403741	0.766569	
-0.65041	-1.12253	
1.51437	0.125626	
-1.06454	-1.52733	
0.44139	0.328029	
-0.160983	-0.683986	
0.253148	0.193094	
-0.42452	0.5979	
0.347269	1.00271	
0.667279	0.0918923	
-0.368048	1.30631	
-0.142158	-0.818921	
-0.575113	0.0918923	
0.422566	-0.920123	
-2.0434	-1.52733	
0.234324	-0.380381	
-0.97042	2.25086	
-0.0668619	-0.98759	
-1.27161	-0.751454	
-1.87398	-1.22373	
0.00843467	-0.616518	
0.271973	2.28459	
1.53319	0.0918923	
-0.688058	-0.380381	
-1.70456	-1.52733	
0.2155	-0.447849	
0.0460829	0.732835	
-0.744531	0.496698	
0.102555	0.328029	
1.232	1.23884	
0.253148	-0.447849	
0.102555	-0.616518	
0.591983	0.294295	
-0.198631	0.15936	
0.497862	0.260561	
0.836696	0.429231	
0.102555	-0.447849	
0.328445	0.699101	
-1.57279	-1.52733	
-0.857475	0.226828	
-0.236279	-1.02132	
0.0649071	-0.582784	
-1.40338	-0.110511	
0.704928	0.5979	
0.0272588	-0.414115	
-0.631586	1.13764	
-0.3304	-0.920123	
-0.518641	0.328029	
-1.40338	-0.00930923	
1.17553	-1.02132	
0.140204	0.395497	
0.196676	-0.380381	
1.43907	1.94725	
-0.725706	-0.920123	
-1.08336	-0.144245	
0.780224	0.395497	
-0.97042	-0.312914	
0.366093	0.328029	
0.384917	-0.481583	
0.460214	1.98099	
-0.575113	-1.29119	
-0.3304	-0.751454	
0.949641	-0.380381	
0.723752	1.13764	
-0.236279	0.86777	
1.28848	0.395497	
-0.0668619	0.193094	
1.74025	0.699101	
1.32612	-0.683986	
-0.179807	-1.29119	
1.3826	2.38579	
-0.142158	0.5979	
-1.53514	-1.83094	
0.328445	-1.02132	
0.347269	-0.818921	
-0.744531	0.260561	
-0.669234	0.15936	
-1.04572	-1.52733	
-0.123334	-0.144245	
-0.575113	0.968972	
0.780224	0.125626	
-0.688058	-0.683986	
0.704928	1.71112	
-0.537465	-1.83094	
-1.87398	-0.414115	
-1.70456	-0.515317	
0.177852	0.0244246	
0.0837312	-0.98759	
0.234324	0.328029	
-0.405696	0.631634	
