ThetaFW[0]	ThetaFW[1]	
5	4	
1.77273	0.924242	
4.16667	1.66667	
2.78788	3.71212	
1.21212	1.90909	
1.66667	0.257576	
2.33333	3.71212	
1.33333	0.606061	
0.681818	0.121212	
4.10606	3.16667	
2.90909	2.72727	
3.0303	0.30303	
6.56061	1.37879	
0.454545	0.121212	
2.51515	0.924242	
0.818182	0.651515	
1.93939	1.34848	
1.39394	1.89394	
2.40909	1.71212	
1.60606	0.484848	
2.98485	2.12121	
3.89394	0.348485	
0.787879	0.484848	
2.71212	2.0303	
5.60606	3.75758	
1.04545	0.333333	
4.19697	3.51515	
3.10606	0.606061	
0.439394	0.318182	
5.28788	1.62121	
1.95455	0.257576	
2.4697	2.22727	
3.81818	0.848485	
6.33333	0.333333	
3.15152	0.121212	
1.24242	0.363636	
1.92424	1.10606	
1.10606	1.0303	
2.06061	1.28788	
4.42424	3.24242	
1.93939	0.727273	
3.87879	1.71212	
2.0303	2.93939	
3.0303	4.45455	
1.56061	0.590909	
3.83333	1.06061	
4.60606	1.45455	
2.24242	1.66667	
2.13636	1.93939	
0.833333	1.15152	
3.06061	0.80303	
3.18182	1.15152	
0.727273	1.30303	
3.75758	1.16667	
2.12121	0.530303	
1.74242	5.28788	
2.59091	1.66667	
1.28788	3.83333	
3.27273	3.25758	
2.4697	0.439394	
3.84848	2.34848	
2.5303	1.78788	
2.98485	2.37879	
3.81818	0.212121	
2.10606	1.86364	
3.69697	0.893939	
1.65152	1.0303	
2.21212	2.74242	
2.01515	0.560606	
4.5	4	
2.60606	2.01515	
2.22727	0.318182	
2.65152	0.69697	
3.19697	1.28788	
3.06061	3.95455	
2.74242	1.25758	
2.37879	0.621212	
3.83333	1.30303	
3.07576	0.651515	
2.10606	0.19697	
3.21212	2.72727	
2.43939	0.80303	
2.10606	1.89394	
1.87879	4.07576	
1.31818	1.07576	
0.742424	1.68182	
2.5	1.18182	
1.34848	0.121212	
1.51515	1.13636	
1.15152	1.54545	
3.33333	1.74242	
0.878788	3.19697	
2.66667	1.93939	
1.48485	0.0757576	
5.65152	1.25758	
1.69697	3.30303	
2.72727	1.24242	
1.89394	0.606061	
2.13636	0.924242	
0.833333	0.969697	
