ThetaTaj[0]	ThetaTaj[1]	
5.18182	2.18182	
3.5	1.43939	
3.65152	1.9697	
2.66667	0.833333	
2.78788	1.72727	
3.42424	1.37879	
3.12121	1.56061	
3.39394	1.93939	
2.04545	0.969697	
3.34848	1.37879	
3.63636	2	
2.78788	1.15152	
4.5303	1.71212	
2.45455	0.969697	
3.66667	1.80303	
3.18182	1.34848	
3.51515	1.74242	
2.9697	1.92424	
3.59091	2.10606	
3.84848	1.69697	
3.01515	2.24242	
3.19697	1.28788	
2.84848	1.69697	
3.65152	1.24242	
1.66667	0.969697	
3.5	1.48485	
2.5303	2.66667	
3.25758	1.21212	
2.28788	1.31818	
1.80303	1.10606	
3.31818	1.37879	
3.5303	2.68182	
4.54545	1.69697	
2.75758	1.48485	
1.93939	0.969697	
3.48485	1.45455	
3.34848	1.98485	
2.71212	1.87879	
3.39394	1.80303	
4.30303	2.21212	
3.51515	1.45455	
3.39394	1.37879	
3.78788	1.78788	
3.15152	1.72727	
3.71212	1.77273	
3.98485	1.84848	
3.39394	1.45455	
3.57576	1.9697	
2.04545	0.969697	
2.62121	1.75758	
3.12121	1.19697	
3.36364	1.39394	
2.18182	1.60606	
3.87879	1.92424	
3.33333	1.4697	
2.80303	2.16667	
3.04545	1.24242	
2.89394	1.80303	
2.18182	1.65152	
4.25758	1.19697	
3.42424	1.83333	
3.4697	1.48485	
4.4697	2.5303	
2.72727	1.24242	
2.43939	1.59091	
3.93939	1.83333	
2.5303	1.51515	
3.60606	1.80303	
3.62121	1.43939	
3.68182	2.54545	
2.84848	1.07576	
3.04545	1.31818	
4.07576	1.48485	
3.89394	2.16667	
3.12121	2.04545	
4.34848	1.83333	
3.25758	1.74242	
4.71212	1.9697	
4.37879	1.34848	
3.16667	1.07576	
4.42424	2.72727	
3.19697	1.92424	
2.07576	0.833333	
3.57576	1.19697	
3.59091	1.28788	
2.71212	1.77273	
2.77273	1.72727	
2.4697	0.969697	
3.21212	1.59091	
2.84848	2.09091	
3.93939	1.71212	
2.75758	1.34848	
3.87879	2.42424	
2.87879	0.833333	
1.80303	1.4697	
1.93939	1.42424	
3.45455	1.66667	
3.37879	1.21212	
3.5	1.80303	
2.98485	1.93939	
