ZengE[0]	ZengE[1]	
1.65963	2.13328	
-0.629551	-0.704367	
0.55743	0.241516	
-0.544767	0.917148	
-1.22304	0.241516	
-0.714336	-1.24487	
-0.544767	1.45765	
-0.883905	-0.569241	
-1.81653	-1.65025	
0.387861	0.917148	
-0.0360605	1.05227	
-0.375198	-1.38	
2.08355	-0.163862	
-1.73175	-1.65025	
-0.205629	-0.434115	
-1.22304	-0.974619	
-0.544767	-0.163862	
-1.05347	0.376643	
-0.290414	0.376643	
-0.544767	-0.839493	
-0.290414	0.782021	
0.218293	-1.24487	
-1.39261	-0.839493	
-0.120845	-0.028736	
0.303077	1.05227	
-0.968689	-1.10975	
0.0487239	2.13328	
-0.120845	-1.10975	
-1.81653	-1.24487	
0.218293	-0.434115	
-0.629551	-1.24487	
-0.290414	1.1874	
0.811783	-0.569241	
1.15092	-1.10975	
-0.714336	-1.65025	
-0.883905	-1.10975	
-0.629551	-0.163862	
-1.30783	-0.298988	
-0.544767	-0.163862	
0.981352	1.59278	
-0.544767	-0.839493	
0.303077	-0.163862	
-0.375198	1.05227	
-0.205629	2.13328	
-0.629551	-0.704367	
0.55743	-0.298988	
0.642215	-0.298988	
-0.375198	0.241516	
-1.13826	-0.298988	
-1.4774	-0.298988	
-0.205629	-0.974619	
-0.0360605	-0.569241	
-1.73175	-0.298988	
0.472646	-0.163862	
-0.544767	-0.974619	
-0.968689	3.07917	
-0.459983	-0.298988	
-1.13826	1.7279	
-0.544767	1.1874	
0.0487239	-1.24487	
0.303077	0.646895	
-0.290414	-0.028736	
0.387861	1.1874	
-0.0360605	-1.38	
-0.968689	0.10639	
0.472646	-0.434115	
-1.13826	-0.569241	
-0.375198	0.917148	
-0.459983	-0.974619	
0.726999	2.40354	
-0.544767	-0.163862	
-0.629551	-1.24487	
0.0487239	-0.839493	
0.218293	0.10639	
-0.205629	1.99816	
0.218293	-0.163862	
-0.459983	-0.704367	
0.896568	-0.028736	
0.387861	-0.974619	
-0.629551	-1.51512	
0.472646	1.59278	
-0.459983	-0.434115	
-1.13826	-0.434115	
-0.544767	1.45765	
-0.79912	-0.704367	
-1.4774	0.10639	
-0.629551	-0.298988	
-1.30783	-1.65025	
-0.883905	-0.434115	
-1.22304	0.241516	
0.303077	0.10639	
-1.39261	0.917148	
-0.0360605	0.782021	
-1.05347	-1.78538	
0.387861	-0.434115	
-1.39261	1.05227	
-0.205629	-0.298988	
-0.629551	-1.10975	
-0.459983	-0.434115	
-1.30783	-0.298988	
