ZnA[0]	ZnA[1]	
0.830688	0.57619	
0.484993	0.0576938	
0.345363	0.297521	
0.148052	1	
0.195575	0.533333	
0.215392	0.0290909	
0.591342	0.818182	
0.288685	0.222222	
0.247016	0.122314	
0.513766	0.754545	
0.548889	0.36	
0.198959	0.761364	
0.727273	0.301309	
0.18161	0.261157	
0.326599	0.1671	
0.265006	0.0520661	
0.422121	0.280682	
0.0655298	0.348918	
0.299908	0.327273	
0.279137	0.339394	
0.143679	0.64881	
0.234925	0.0293388	
0.165455	0.059596	
0.496489	0.269091	
1	0.509091	
0.183793	0.0442424	
0.195103	0.928571	
0.263993	0.0495868	
0.136986	0.0247934	
0.450138	0.727273	
0.220531	0.378182	
0.662338	0.785714	
0.502405	0.384416	
0.563636	0.278788	
0.330028	0.119835	
0.211884	0.051056	
0.153939	0.196591	
0.372924	0.164286	
0.222471	0.409524	
0.523569	0.37619	
0.177104	0.348485	
0.313333	0.0290909	
0.444781	0.51343	
0.365657	0.9	
0.250826	0.0522727	
0.330159	0.320779	
0.385859	0.0969697	
0.189899	0.318182	
0.235751	0.370248	
0.249311	0.208127	
0.090705	0.0224321	
0.272727	0.216253	
0.139027	0.365909	
0.201182	0.390476	
0.205632	0.318182	
0.120514	0.619048	
0.115564	0.263636	
0.12353	0.515152	
0.067891	0.251612	
0.291033	0.0365998	
0.542525	0.142078	
0.183636	0.0993939	
0.544781	0.809524	
0.265969	0.0181818	
0.0276899	0.0484848	
0.52381	0.296364	
0.0564345	0.0770661	
0.254362	0.636364	
0.254502	0.0334514	
0.30404	0.625	
0.487879	0.515152	
0.114439	0.0247934	
0.275469	0.0393388	
0.575758	0.409091	
0.485767	1	
0.389734	0.271384	
0.277576	0.0659091	
0.499814	0.425714	
0.438528	0.0338843	
0.106454	0.261708	
0.321789	1	
0.130159	0.376623	
0.0633609	0.00826446	
0.216623	0.766234	
0.254005	0.0659091	
0.260178	0.241667	
0.211938	0.1	
0.0480053	0.0132231	
0.320346	0.0702479	
0.362534	0.374545	
0.400433	0.0757576	
0.232231	0.330303	
0.278692	0.64	
0.213131	0.256198	
0.120661	0.121384	
0.550413	0.488636	
0.242088	0.162879	
0.165901	0.297521	
0.674074	0.436364	
0.141818	0.11	
