maxhap[0]	maxhap[1]	
0.583333	0.416667	
0.5	0.583333	
0.333333	0.5	
0.416667	0.916667	
0.5	0.583333	
0.333333	0.666667	
0.75	0.75	
0.5	0.5	
0.666667	0.75	
0.416667	0.833333	
0.5	0.5	
0.333333	0.916667	
0.583333	0.583333	
0.416667	0.833333	
0.416667	0.5	
0.25	0.583333	
0.333333	0.5	
0.333333	0.666667	
0.5	0.5	
0.333333	0.75	
0.5	0.416667	
0.583333	0.666667	
0.333333	0.5	
0.5	0.583333	
0.916667	0.916667	
0.25	0.5	
0.666667	0.583333	
0.25	0.75	
0.416667	0.583333	
0.75	0.833333	
0.416667	0.666667	
0.5	0.5	
0.416667	0.416667	
0.75	0.75	
0.666667	0.75	
0.333333	0.583333	
0.416667	0.416667	
0.5	0.583333	
0.416667	0.5	
0.25	0.416667	
0.416667	0.666667	
0.5	0.583333	
0.583333	0.666667	
0.583333	0.75	
0.333333	0.5	
0.333333	0.416667	
0.583333	0.666667	
0.416667	0.5	
0.5	0.833333	
0.583333	0.5	
0.416667	0.666667	
0.583333	0.666667	
0.333333	0.666667	
0.416667	0.666667	
0.5	0.583333	
0.583333	0.75	
0.5	0.666667	
0.5	0.75	
0.666667	0.583333	
0.416667	0.666667	
0.416667	0.583333	
0.416667	0.583333	
0.416667	0.583333	
0.333333	0.75	
0.416667	0.5	
0.416667	0.416667	
0.583333	0.583333	
0.333333	0.75	
0.5	0.5	
0.5	0.5	
0.666667	0.916667	
0.333333	0.583333	
0.5	0.5	
0.583333	0.583333	
0.666667	0.75	
0.416667	0.583333	
0.333333	0.416667	
0.416667	0.416667	
0.333333	0.666667	
0.333333	0.75	
0.416667	0.5	
0.25	0.666667	
0.5	0.666667	
0.416667	0.916667	
0.333333	0.666667	
0.5	0.416667	
0.5	0.5	
0.416667	0.75	
0.5	0.5	
0.5	0.5	
0.5	0.583333	
0.333333	0.666667	
0.333333	0.583333	
0.333333	0.75	
0.666667	0.5	
0.833333	0.833333	
0.5	0.666667	
0.333333	0.833333	
0.666667	0.583333	
0.416667	0.5	
