thetaL[0]	thetaL[1]	
5.09091	3.09091	
2.63636	1.18182	
3.90909	1.81818	
2.72727	2.27273	
2	1.81818	
2.54545	0.818182	
2.72727	2.63636	
2.36364	1.27273	
1.36364	0.545455	
3.72727	2.27273	
3.27273	2.36364	
2.90909	0.727273	
5.54545	1.54545	
1.45455	0.545455	
3.09091	1.36364	
2	1	
2.72727	1.54545	
2.18182	1.90909	
3	1.90909	
2.72727	1.09091	
3	2.18182	
3.54545	0.818182	
1.81818	1.09091	
3.18182	1.63636	
3.63636	2.36364	
2.27273	0.909091	
3.36364	3.09091	
3.18182	0.909091	
1.36364	0.818182	
3.54545	1.36364	
2.63636	0.818182	
3	2.45455	
4.18182	1.27273	
4.54545	0.909091	
2.54545	0.545455	
2.36364	0.909091	
2.63636	1.54545	
1.90909	1.45455	
2.72727	1.54545	
4.36364	2.72727	
2.72727	1.09091	
3.63636	1.54545	
2.90909	2.36364	
3.09091	3.09091	
2.63636	1.18182	
3.90909	1.45455	
4	1.45455	
2.90909	1.81818	
2.09091	1.45455	
1.72727	1.45455	
3.09091	1	
3.27273	1.27273	
1.45455	1.45455	
3.81818	1.54545	
2.72727	1	
2.27273	3.72727	
2.81818	1.45455	
2.09091	2.81818	
2.72727	2.45455	
3.36364	0.818182	
3.63636	2.09091	
3	1.63636	
3.72727	2.45455	
3.27273	0.727273	
2.27273	1.72727	
3.81818	1.36364	
2.09091	1.27273	
2.90909	2.27273	
2.81818	1	
4.09091	3.27273	
2.72727	1.54545	
2.63636	0.818182	
3.36364	1.09091	
3.54545	1.72727	
3.09091	3	
3.54545	1.54545	
2.81818	1.18182	
4.27273	1.63636	
3.72727	1	
2.63636	0.636364	
3.81818	2.72727	
2.81818	1.36364	
2.09091	1.36364	
2.72727	2.63636	
2.45455	1.18182	
1.72727	1.72727	
2.63636	1.45455	
1.90909	0.545455	
2.36364	1.36364	
2	1.81818	
3.63636	1.72727	
1.81818	2.27273	
3.27273	2.18182	
2.18182	0.454545	
3.72727	1.36364	
1.81818	2.36364	
3.09091	1.45455	
2.63636	0.909091	
2.81818	1.36364	
1.90909	1.45455	
