thetaWatt[0]	thetaWatt[1]	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
3.31139	1.6557	
