FFn[0]	FFn[1]	FFn[2]	FFn[3]	
0.958214	-0.346091	0.282118	-0.470549	
-1.42255	-1.19661	0.159887	0.0239678	
-0.711296	-0.478329	-1.17039	0.484989	
0.040165	-0.0290087	1.26573	-0.460945	
-0.202455	0.325423	-0.134722	0.0327981	
-0.538593	0.503485	0.0175121	-0.321353	
0.284662	-0.203738	-0.580647	0.0655531	
0.0805183	0.824284	-0.443982	0.757144	
-0.498434	-0.961786	0.000739715	-0.71247	
-0.738195	1.93905	-1.47552	-0.436466	
0.14329	1.46388	-0.876226	-0.505872	
-0.219765	1.21963	0.850496	-0.360542	
-0.139186	-0.294106	0.335102	0.407542	
-0.46194	-0.263837	-0.126219	0.497669	
-0.763143	1.3426	0.268642	0.667979	
-1.52917	-1.2767	-0.251163	-0.460812	
0.192981	0.887935	0.635317	-0.369635	
-0.353595	1.25159	0.347046	-0.440864	
-0.42546	-0.582075	-0.156973	0.617806	
0.437679	1.16619	-0.322779	-0.332545	
0.214973	1.46964	-0.263082	0.379528	
1.12183	1.48896	0.118859	0.0346317	
-1.25473	-2.17902	0.0878177	0.0967416	
0.217389	1.10137	0.566175	0.149842	
1.03064	0.276258	-0.158992	-0.182075	
0.0678499	-0.828718	0.435552	-0.00893605	
0.0180908	0.696897	0.359749	0.0209282	
0.781814	0.619628	-0.4824	-0.00285414	
0.483239	-0.224391	-0.717385	-0.64616	
-1.64285	0.973632	-1.40317	0.722632	
-0.615758	-0.356755	-0.0222014	0.774163	
0.279685	-0.233322	-1.78844	-0.609644	
0.766091	1.70027	0.211623	-0.232826	
1.05485	-1.2117	0.989755	-0.263874	
0.235035	0.375817	0.401817	-0.496237	
0.00733784	-1.53188	-0.25716	-0.636575	
1.15761	1.02802	0.806295	-0.500756	
-0.0567322	1.00104	1.17433	-0.303429	
0.573241	1.20617	0.574207	0.355211	
1.33804	0	-0.464474	-1.17121	
-0.552685	0.288583	1.08709	-0.893878	
0.152124	-0.422104	-0.298458	-0.382069	
-0.864263	1.02359	0.476703	-0.402308	
-0.0309564	1.13129	-1.14219	0.260103	
1.30594	0.754011	-0.424419	0.417282	
0.901972	-1.52273	-0.079587	-0.333026	
-0.441831	-0.49758	-1.06939	-1.13118	
0.251313	0.429379	0.352356	-0.5867	
0.428238	-0.906721	0.534722	-0.380584	
1.01683	1.76468	0.350741	0.403089	
-0.114437	-0.422932	0.0155802	-0.00770882	
-0.0739895	0.0551647	-0.0622626	0.122657	
0.491433	0.359009	0.511581	1.05746	
-0.530049	0.982508	-0.142204	0.224788	
0.45034	0.241254	0.145374	-0.224684	
-0.470475	-0.280067	-0.415632	-1.39325	
-0.015308	-0.375052	0.622222	-0.221555	
0.656553	0.622284	-0.0804359	-0.690663	
0.0460447	1.25988	-0.741214	0.881686	
-1.66447	-0.859469	-0.991509	-0.120087	
-0.584928	-2.54982	-0.633051	0.206084	
0.962066	0.704861	0.109931	0.448341	
0.602484	-0.578353	-1.20922	-0.247247	
0.37633	-0.706529	-0.478606	0.881689	
0.644121	0.544522	0.0224916	1.0976	
0.758546	-0.193626	-1.32742	-0.879304	
-0.490267	-0.204645	0.212789	0.469544	
-0.192677	-1.21369	-0.339272	-0.389267	
-0.864793	-0.280067	-0.13179	0.635274	
-0.983042	-2.20811	-0.247111	0.301198	
0.441657	-1.70916	-0.4944	-0.292425	
-0.496734	-0.383379	-0.470906	-0.368362	
0.701477	0.770047	-0.530449	0.314246	
-1.16103	1.31317	0.0948984	0.436144	
-1.38191	1.24205	0.510371	0.741367	
0.612154	0.97777	-0.0267026	0.0365824	
-0.663351	-1.63512	0.39107	0.529421	
0.487325	0.629016	0.435739	-0.435205	
-0.88098	0.175863	0.613829	-0.220424	
-0.682763	-2.0029	0.208419	-0.439503	
0.370506	0.840051	0.356635	-1.00733	
1.29968	0.701537	0.513896	-0.777752	
