Fs[0]	Fs[1]	Fs[2]	Fs[3]	
-1.33696	1.05597	-3.89825	-5.94052	
-12.0029	0.217667	-2.73064	-1.93048	
-0.908433	-0.684256	-3.75076	-4.18982	
-2.25392	-4.6015	3.00785	-4.47843	
-2.75098	0.281146	-0.0243446	-3.82944	
-1.89469	-0.543873	-2.02949	-4.58184	
-3.11777	1.46028	-3.22626	-2.98612	
-1.30767	0.778086	-0.930754	-3.22116	
-4.84271	-1.46598	-2.4028	-2.97605	
-1.55523	6.85015	-2.48409	-2.69426	
-2.8269	3.27717	-3.44255	-4.48047	
-1.84793	3.90123	-0.746019	-1.89437	
-1.18674	1.61471	-0.926101	-2.83506	
-2.65386	2.68574	0.00840379	-5.72116	
-1.27179	3.41319	-1.12105	-0.395824	
-4.83548	2.56208	-0.383147	-1.60547	
-0.866471	0.145374	0.848076	-3.04763	
-7.10768	1.27782	-0.776621	-2.60143	
-2.19998	-1.55869	-2.8892	-1.02093	
-1.02174	0.762357	-1.38827	-3.2611	
-0.110763	2.66955	-3.68713	-4.49984	
0.193712	2.19414	2.73855	-2.75273	
-1.03702	-0.876332	-7.3315	-1.93473	
-2.32581	1.82754	-0.439744	-3.9906	
0.360651	-0.496767	-2.91424	-2.76352	
-1.19641	-5.49994	-0.561698	-4.93432	
-1.0505	0.491095	0.281826	-2.29859	
0.174024	1.76693	-0.742843	-1.11309	
-1.59095	0.879863	0.377356	-3.21551	
-3.78641	2.27396	-4.16382	-0.549933	
-1.24018	0.126975	-2.02446	-1.14413	
-1.31692	0.169289	-4.01465	-1.85893	
-1.27755	6.0272	2.54373	-2.37811	
-2.15133	-0.1564	2.37208	-6.60922	
1.48888	-0.621982	-1.88335	-5.55285	
-0.418374	-0.295521	-3.49855	-2.10973	
0.048672	4.10556	0.755441	-2.96103	
-10.4488	1.13745	0.29557	-4.81947	
-1.89467	1.02491	1.29721	-4.98744	
-1.03236	-1.44765	-0.659077	-3.12179	
-4.8562	-2.19309	2.35542	-3.9669	
-3.83545	-3.24588	-0.803179	-5.62808	
-1.6182	2.62698	-1.45251	-0.858396	
-4.01756	0.73532	-0.962863	-4.55182	
1.31604	-0.47915	0.862286	-5.90871	
-0.587373	1.94116	-5.23105	-4.01453	
-3.33335	-4.3267	-0.589473	-1.93048	
-4.00554	1.37117	-1.96919	-3.67861	
-1.14579	1.81661	-2.30405	-5.71328	
-0.265239	4.4655	-0.728217	-2.1395	
-1.24022	-0.593814	0.440269	-4.60208	
-3.04874	-0.94431	-3.51776	-4.47191	
2.70514	-1.55553	-1.0466	-0.762535	
-4.07978	0.305279	-1.07036	-3.28083	
-2.1081	1.31612	2.02722	-0.66681	
-5.788	-3.71319	-2.63333	-2.49411	
-2.67509	-0.857727	0.0774086	-6.03801	
-0.150055	0.718665	1.05125	-6.27659	
0.209986	4.39195	-1.65353	-1.01485	
-4.80576	-1.1758	-2.60886	-2.1689	
-0.0383409	5.38907	0.273733	-5.516	
1.78951	1.08792	-2.02697	-4.30701	
-4.20177	1.0223	-5.49079	-2.19175	
-2.69653	-2.30414	-0.479534	-1.26838	
0.452055	0.390084	-0.232451	-0.285356	
1.79948	-2.00892	-4.11211	-0.047121	
-3.26913	-0.100592	-1.4237	-5.16036	
-4.31788	-3.38514	-1.53875	-5.71016	
-7.89654	-3.71319	-1.86375	-2.94117	
-1.80268	1.06392	-3.30493	-5.26473	
-2.24472	-0.0466823	-2.99844	-2.12786	
-3.72673	-3.13719	-0.281733	-3.83669	
-0.694136	-0.251857	-0.477365	-1.60108	
-2.10445	1.60408	-1.9245	-2.47844	
-7.27166	2.72732	2.40025	-2.36536	
-0.430429	-0.645333	-3.80718	-5.61287	
-2.47249	-2.57905	-2.45724	-4.22389	
-1.89886	-0.596215	1.0175	-3.85931	
-2.84193	0.101052	-1.76371	-1.85893	
2.17928	-0.653436	-0.197437	-3.35079	
-0.904884	3.78305	-0.457283	-3.7564	
1.4762	1.01391	1.52026	-4.75458	
-4.48567	-0.517483	-0.320539	-2.24595	
-2.5314	0.251449	-2.30439	-3.03208	
0.718801	-2.09575	0.610677	-1.69547	
-2.10768	0.83799	-0.907914	-4.2498	
-0.412704	-2.39169	-0.138298	-4.38576	
4.0624	-1.25027	-0.490771	-1.85392	
-3.36372	0.768978	-0.916112	-3.06855	
-5.31015	-0.122365	-3.4438	-0.855457	
-5.16939	0.937352	-0.0901524	-6.32882	
-3.76375	-1.54139	-0.524571	-3.13766	
-4.05603	-0.644889	-1.58887	-5.73698	
-3.88088	-0.00874211	-1.34294	-8.51161	
1.74044	-0.998556	-1.62692	-4.3034	
0.938638	1.58007	-2.85601	-3.00294	
-4.34995	-3.84064	-2.82002	-2.33963	
-2.09623	-0.694708	-3.26637	-0.221252	
-2.6543	-1.60447	2.57399	-3.83687	
0.134724	-1.54139	-1.17078	-2.40457	
-3.2327	-1.35787	-5.87061	0.698235	
-6.10895	2.77453	-4.21863	-5.35273	
-1.98235	-0.230334	1.89759	-2.8589	
-1.29199	1.56365	-0.213351	-3.45373	
-3.12959	0.0210278	-1.25272	-3.9617	
-2.45463	0.270586	0.305003	-4.32148	
0.492731	3.0173	-1.62904	-2.10456	
-7.09909	0.281146	-0.0669104	-3.49822	
-0.985547	3.09964	-1.60504	-2.31809	
-1.26092	0.0136386	-2.83848	-5.11601	
-2.56377	-0.57702	-2.36261	-4.34883	
-11.6145	0.894319	-3.59048	-3.73492	
-0.754855	0.501163	-2.04677	-4.63277	
-1.62144	2.41341	-1.75661	-3.03208	
2.57713	-1.02304	-0.422316	-3.05284	
-7.98361	-1.0856	-0.902958	-3.34927	
-5.70469	0.822851	-2.37426	-4.36723	
-3.11519	-0.728588	-2.47426	-1.88927	
0.68155	2.25413	1.5851	-1.89437	
-1.57358	-0.906761	1.23499	-2.39667	
-4.80445	0.87495	-1.99781	-5.00541	
-6.64106	-0.705134	-1.36625	-2.03197	
-5.09375	1.19353	-1.78125	-5.60816	
0.758458	2.92239	1.20977	-3.55018	
