Pwh[0]	Pwh[1]	Pwh[2]	Pwh[3]	
0.0706513	1.5	0.0517048	0.218543	
0.152632	0.697674	0.0574202	0.119134	
0.102161	0.391304	0.237317	0.244143	
0.200831	0.141956	0.111066	0.0883534	
0.303559	0.418605	0.0740741	0.265594	
0.0798019	0.553279	0.124802	0.0909091	
0.101069	0.25788	0.0416855	0.103937	
0.0701839	0.339623	0.0597985	0.111675	
0.0969467	1.32353	0.0763134	0.103611	
0.327807	1.05351	0.0571547	0.305556	
0.153982	1.28049	0.130971	0.314286	
0.0923567	1.30165	0.0565111	0.117647	
0.511314	0.393013	0.0597144	0.15942	
0.0928495	0.576923	0.0289066	0.121101	
0.190164	1.60714	0.0478461	0.413793	
0.43112	1.26168	0.0652251	0.106109	
1.48015	0.72	0.0444266	0.105939	
0.151832	1.26404	0.0427907	0.275382	
0.0726332	0.45	0.0386555	0.132	
0.122951	1.15385	0.0519627	0.226027	
0.0984386	0.165746	0.0246033	0.157895	
0.0780829	0.318021	0.0827255	0.192982	
0.17153	1	0.0327208	0.144737	
0.0744863	0.544355	0.0256553	0.277311	
0.0641593	0.833333	0.0388787	0.312057	
0.109296	0.330882	0.0795963	0.0998487	
0.145582	0.382979	0.185751	0.0827068	
0.252907	1.22449	0.217895	0.136646	
0.255469	0.263158	0.0772532	0.111486	
0.365239	1.39175	0.268259	0.11	
0.220812	0.725806	0.155791	0.0890688	
0.0703314	0.219512	0.498758	0.348592	
0.0952068	0.608108	0.250421	0.255155	
0.115019	0.78125	0.130426	0.294643	
0.0672022	0.230179	0.0876538	0.232804	
0.293919	1.31068	0.0999396	0.774194	
0.0946269	1.15385	0.0914664	0.20625	
0.156026	0.879479	0.0528432	0.341085	
0.0681925	0.09375	0.100163	0.101227	
0.089969	0.555556	0.110004	0.216749	
0.266381	0.215311	0.0602883	0.275574	
0.228167	0.304054	0.0739253	0.236984	
0.10274	1.50915	0.052975	0.31769	
0.117441	0.559006	0.0603807	0.0901639	
0.131011	0.473684	0.0284331	0.126437	
0.0809302	0.859873	0.110074	0.139535	
0.143802	0.412844	0.242927	0.357401	
0.482797	0.667656	0.0799537	0.127413	
0.216042	0.364372	0.0247556	0.362637	
0.0640365	0.876106	0.0210526	0.156213	
0.0691134	1.8	0.0644784	0.365651	
0.136706	0.351562	0.0708358	0.246269	
0.168409	0.509434	0.140185	0.23913	
0.0865327	0.335821	0.124703	0.181319	
0.142576	0.882353	0.0326395	0.115183	
