ThetaFW[0]	ThetaFW[1]	ThetaFW[2]	ThetaFW[3]	
7.43218	2.22222	31.9275	3.06061	
4.48276	6.68889	36.6232	9.06061	
8.41839	4.22222	16.7101	10.803	
5.07586	5.62222	70.6268	15.7727	
5.82529	7	39.6087	5.01515	
10.9862	4.8	24.6449	8.63636	
11.7609	2.68889	27.2283	7.28788	
12.2345	2.77778	34.1196	8.68182	
7.13333	0.133333	50.4275	8.71212	
16.2437	11.6	10.7645	11.2727	
2.54023	5.2	17.9638	7.09091	
6.13793	9.68889	26	16.4091	
6.17701	2.24444	35.8986	5	
4.6092	7.86667	42.971	5.74242	
17.4138	14.6667	40.1993	12.1515	
10.8092	10.8667	40.9022	9.84848	
21.2989	1.88889	43.5906	7.4697	
4.10345	9.91111	48.913	8.92424	
7.81839	1.77778	26.3043	8.78788	
6.48736	14.6889	40.5543	7.87879	
8.3931	10.8222	36.2246	4.57576	
8.22759	4.15556	34.0833	14	
8.10115	0.111111	27.4384	12	
12.2299	4.26667	20.6739	6.24242	
11.0345	1.91111	31.5833	10.1364	
7.4023	1.86667	48.0072	11.2576	
13.131	3.88889	41.0109	9.72727	
5.05747	1.84444	43.4203	8.86364	
14.0667	2.2	36.9928	13.2121	
5.69655	7.08889	40.6884	13.4545	
9.56322	2.57778	37.8188	17.6818	
20.3333	4.11111	38.4819	4.12121	
9.70345	4.53333	30.5688	14.0606	
6.47816	11.8222	49.3732	8.12121	
14.154	4.86667	43.6703	8.68182	
8.22989	4.6	20.5036	9.56061	
9.08736	7.73333	30.7029	8.48485	
5.72874	5.84444	35.7174	2.68182	
8.85287	5.33333	31.7174	7.57576	
8.54023	8.75556	47.1159	4.40909	
7.66437	2.68889	23.5217	2.74242	
7.02759	2.04444	26.0761	5.19697	
3.50805	5.15556	39.4638	13.7727	
6.65747	3.31111	46.0072	12.1818	
18.1356	1.22222	32.0471	3.36364	
14.7471	6.51111	67.3587	7.56061	
8.14943	0.911111	29.1848	9.78788	
8.2	5.62222	27.5072	8.15152	
6.67356	8.06667	26.6486	7.72727	
13.2805	10.3333	46.7609	18.6515	
16.5655	0.111111	47.8514	13.4242	
6.61609	3.37778	39.4746	5.0303	
12.5379	4.55556	39.3732	9.81818	
9.06437	1.46667	31.837	5.75758	
13.2828	4.35556	24.6667	7.5	
3.35862	1.35556	23.3043	4.87879	
9.17701	1.46667	40.6159	5.22727	
15.4736	12.6444	48.558	9.62121	
11.2092	13.0222	29.9457	15.0909	
0.926437	0.244444	29.663	8.42424	
6.82989	9.22222	51.9674	9.87879	
14.8322	10.1556	28.7971	9.93939	
5.55632	7.04444	25.6703	5.95455	
7.75862	3.75556	37.5145	16.2121	
12.9586	2.02222	21.6304	15.8939	
14.1103	0.733333	41.1993	7.74242	
9.48736	0.822222	15.7862	5.09091	
8.83218	0.511111	25.721	2.28788	
6.11494	0.911111	29.5942	8.06061	
6.14943	12.0444	20.6377	8.24242	
4.36782	15.0667	35.9312	7.40909	
2.97241	1.71111	42.721	14.697	
9.26897	2.33333	45.9384	8.92424	
7.0023	11.0889	51.4493	6.09091	
2.35402	5.13333	46.9891	5.28788	
9.31264	7.62222	35.6232	5.89394	
2.48966	1.93333	39.2645	10.5606	
6.10575	2.48889	38.2283	7.25758	
9.73103	4.84444	29.9457	11.3939	
7.71034	5.6	38.3261	3.5	
10.754	23.8222	19.6703	12.5	
16.246	6.4	43.0906	10.2273	
11.7954	6.15556	43.1812	8.81818	
10.5517	1.62222	31.5725	8.69697	
8.92874	0.266667	37.971	13.0606	
6.12414	1.91111	38.0217	9.92424	
12.6621	1.66667	35.9022	5.12121	
13.1724	1.26667	34.5217	7.19697	
7.96552	4.8	39.6232	10.0758	
6.4023	5.53333	24.8297	15.7576	
3.36782	9.93333	36.1884	7.95455	
3.97471	1.48889	23.9239	6.07576	
9.82069	0.555556	35.9964	6.13636	
4.15172	3.77778	32.8043	4.19697	
12.9425	3.06667	26.7138	6.25758	
6.65517	5.64444	24.9746	4.93939	
5.70575	2.68889	34.5833	6.68182	
10.8621	3.51111	23.0072	6.04545	
10.4368	8.44444	37.4275	14.303	
4.58391	3.26667	27.8913	6.83333	
8.09655	1.66667	26.6812	15.2273	
5.64138	9.11111	21.6667	10.0758	
10.731	1.2	30.8986	7.25758	
8.01379	10.4222	32.1449	7.27273	
17.1011	21.3111	37.6775	9.39394	
13.9448	2.4	50.3007	4.83333	
23.0759	6.84444	22.4601	12.4545	
3.34713	3.88889	38.1196	12.2879	
9.62989	2.11111	32.2536	5.89394	
8.85287	0.933333	31.1812	12.803	
9.25057	1.31111	19.837	7.24242	
17.7034	7.68889	19.7862	5.72727	
5.81149	8.08889	33.75	12.7879	
9.66667	2.53333	43.0833	8.69697	
8.34253	6.22222	39.8732	5.84848	
3.26667	5.22222	49.7754	9.01515	
6	2.28889	33.9239	3.63636	
8.32644	1.33333	30.8225	8.21212	
9.52874	6.24444	34.913	5.13636	
29.4736	1.11111	34.9855	11.0455	
7.14483	5.73333	37.0652	6.34848	
7.3931	3.82222	47.5145	6.25758	
6.94713	4.8	41.6812	3.09091	
9.6069	6.86667	34.7138	9.5	
15.6069	18.5111	28.6304	7.87879	
13.3816	1.62222	28.9239	7.5	
12.7034	3.97778	30.7101	12.697	
7.85287	6.26667	28.3043	7.33333	
6.88736	2.82222	45.7174	4.21212	
4.76322	7.44444	41.1558	10.9697	
5.62069	4.22222	32.4783	7.10606	
13.3724	3.08889	19.4493	9.43939	
10.9678	0.911111	42.9457	4.04545	
11.4437	6.17778	43.5978	4.42424	
3.62759	3.82222	67.4167	10.5758	
5.95862	4.4	40.5145	6.28788	
16.4989	4.6	48.2101	5.95455	
7.36322	9.84444	59.4384	12.5606	
9.08966	8.17778	30.9891	9.27273	
2.07356	6.04444	49.6957	8.40909	
2.32644	3.26667	41.663	9.16667	
3.16322	12.0444	55.2717	11.7879	
12.0989	10.9111	27.3478	5.43939	
15.1333	2.91111	22.6667	4.63636	
19.8345	4.64444	24.8116	9.54545	
16.5609	2.57778	22.6775	2.54545	
8.86207	6.17778	22.9275	10.4394	
8.33333	5.11111	45.5181	11.7121	
12.5609	4.24444	31.4203	11.2273	
9.65057	6.95556	34.3152	2.9697	
5.52644	4.15556	26.1558	5.48485	
5.38851	1.57778	41.5072	6.54545	
11.5724	5.2	40.721	8.86364	
7.4046	1.86667	39.2862	8.65152	
13.7724	4.51111	21.4529	12.1667	
11.6828	1.42222	42.5942	11.2424	
10.0299	1.15556	45.1594	15.7424	
9.05057	5.13333	18.8043	9.66667	
5.48966	3.48889	37.8007	9.77273	
10.8299	0.688889	47.3659	7.21212	
10.3977	1.11111	28.1775	6.34848	
9.82989	0.466667	25.7536	7.56061	
11.4161	4.68889	19.9964	10.0909	
17.7816	1.44444	45.1087	5.90909	
8.32414	4.53333	31.8768	10.0606	
7.53333	2.77778	41.1341	7.80303	
6.1954	2.04444	27.5435	9.77273	
7.75172	1.17778	32.0072	9.07576	
20.7954	5.82222	48.9674	6.06061	
16.9609	2.35556	31.1159	3.36364	
19.7563	4.4	21.4058	8.21212	
14.4621	1.75556	21.2065	9.43939	
4.9931	8.11111	25.4964	5.74242	
4.01609	0.488889	44.9275	10.4242	
9.4023	4	30.8732	8.51515	
17.3977	1.53333	22.6703	10.7576	
5.58391	0.666667	41.3913	11.9848	
17.4667	2.42222	20.4964	7.62121	
7.70115	6.22222	34.8116	9.86364	
7.22989	2.55556	46.2174	11.8636	
11.777	20.6444	35.6739	7.51515	
8.07586	0.266667	35.5072	16.0455	
11.5885	2.68889	33.2826	8.43939	
6.88736	10.6444	27.8297	6.13636	
