ZnA[0]	ZnA[1]	ZnA[2]	ZnA[3]	
0.208343	0.753086	0.207053	0.26544	
0.028285	0.47668	0.229653	0.366447	
0.19223	0.324221	0.121617	0.273914	
0.155107	0.324817	0.365313	0.299575	
0.140514	0.333664	0.266726	0.221031	
0.195921	0.42644	0.166424	0.26611	
0.221943	0.203143	0.22526	0.248458	
0.291724	0.187647	0.203167	0.323949	
0.20509	0.236111	0.294329	0.205685	
0.285228	0.590476	0.18996	0.177635	
0.120837	0.734127	0.160834	0.175062	
0.163947	0.501055	0.282319	0.33766	
0.174338	0.241938	0.223941	0.290245	
0.14879	0.244544	0.290776	0.304927	
0.285488	0.677627	0.323716	0.331736	
0.234055	0.416718	0.289209	0.296072	
0.291798	0.236111	0.344179	0.221563	
0.0911679	0.608796	0.274174	0.172607	
0.119142	0.301146	0.237337	0.398154	
0.223327	0.531008	0.253508	0.256425	
0.152999	0.423333	0.18592	0.184905	
0.262709	0.400353	0.340969	0.296829	
0.222814	0.259259	0.196519	0.311656	
0.22539	0.598485	0.183243	0.213328	
0.284939	0.345238	0.193727	0.382525	
0.123658	0.175485	0.31334	0.301172	
0.270545	0.192387	0.240156	0.286856	
0.286629	0.533258	0.201213	0.391519	
0.322268	0.238095	0.189946	0.191122	
0.0726191	0.672365	0.222624	0.251741	
0.257427	0.244929	0.246543	0.353025	
0.260575	0.144988	0.272658	0.270116	
0.294952	0.764957	0.238949	0.337059	
0.2616	0.334005	0.387807	0.129223	
0.208154	0.334071	0.240798	0.396582	
0.218666	0.548611	0.17265	0.569786	
0.252021	0.651361	0.248528	0.259738	
0.0715587	0.518849	0.342459	0.317912	
0.135963	0.26422	0.237099	0.238395	
0.278284	0.366484	0.300196	0.109008	
0.22363	0.200792	0.258607	0.233713	
0.098517	0.090486	0.176266	0.272116	
0.189917	0.676483	0.279861	0.248548	
0.303902	0.378307	0.252035	0.365001	
0.324088	0.362103	0.226109	0.235665	
0.323876	0.472663	0.30406	0.173259	
0.142317	0.116843	0.187785	0.191919	
0.185099	0.394284	0.340669	0.284351	
0.155757	0.498366	0.158849	0.300994	
0.362738	0.615631	0.264717	0.504304	
0.275574	0.0277778	0.308044	0.1927	
0.164367	0.103009	0.249126	0.301578	
0.355316	0.376408	0.257161	0.328899	
0.142062	0.369489	0.242978	0.284502	
0.240379	0.513889	0.235651	0.272663	
0.21101	0.132427	0.14177	0.187101	
0.240696	0.147298	0.279513	0.247766	
0.332555	0.490127	0.253664	0.383769	
0.308887	0.525538	0.147063	0.324842	
0.114493	0.0299824	0.148673	0.228108	
0.157406	1	0.404491	0.286163	
0.275826	0.484825	0.16567	0.207598	
0.18237	0.24737	0.208053	0.19088	
0.222599	0.311254	0.297871	0.378094	
0.417073	0.211613	0.217752	0.582273	
0.358042	0.163727	0.165816	0.347535	
0.206725	0.0740741	0.196499	0.224238	
0.209919	0.0299824	0.161243	0.160805	
0.115066	0.210207	0.237656	0.237359	
0.241873	0.58664	0.13453	0.323734	
0.194725	0.291152	0.192354	0.406146	
0.0865359	0.151039	0.309023	0.350306	
0.277207	0.159722	0.306226	0.217332	
