mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 02:08:06 2008 

Input data from the file: input.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          100
Seed1:                 111

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1000
N_samples:             20
Mutations:             0
Thetaw:                5
No_rec_males:          0
Recombination:         10


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
-0.740975	-4.03216	-0.0548905	-0.294585	0.297487	-0.0312657	-1.32632	0	0	0.025456	na	0.55	0.931579	0.101536	13	0	0	3.6643	2.91579	4.24211	-0.31659	-0.549628	0.2	0.25	1	3	3.57895	-0.0670716	0.115	na	0.34296	
0.34181	-0.243246	-0.161794	-0.0132668	-0.306672	-0.109596	4.90526	0.102564	0.175	0.183029	na	0.65	0.942105	0.139329	40	0	0	11.2748	12.2421	7.33684	0.132969	0.755021	0.2	0.25	3	13	9.78947	-0.469819	0.105	na	0.326741	
-0.543143	-1.84763	-0.81764	-0.856663	-0.755281	-0.83304	-1.07368	0.315789	0.4	0.344347	na	0.55	0.9	0.113047	20	0	0	5.63739	4.83158	5.90526	-0.221536	-0.308566	0.3	0.35	1	8	5.36842	-0.151757	0.145	na	0.413943	
-0.841488	-0.676577	-1.56302	-1.57027	-1.71672	-1.74047	-0.263158	0.0869565	0.125	0.168956	na	0.5	0.852632	0.109386	24	0	0	6.76487	5.28947	5.55263	-0.338016	-0.0644183	0.35	0.4	2	13	5.42105	-0.654545	0.19	na	0.189055	
-1.45405	-2.56421	-1.22115	-1.50028	-1.00303	-1.39651	-2.04211	0.318182	0.521739	0.369978	na	0.55	0.884211	0.0770984	23	0	0	6.483	4.03158	6.07368	-0.586044	-0.519102	0.3	0.35	1	10	5.05263	-0.721279	0.16	na	0.248042	
1.43089	3.12558	0.93633	1.25921	1.03658	1.41613	2.96842	0.347826	0.5	0.469786	na	0.4	0.847368	0.187543	24	0	0	6.76487	9.27368	6.30526	0.574774	0.726638	0.35	0.35	2	3	7.78947	0.499062	0.195	na	0.215664	
-1.26212	-1.24732	-0.919807	-1.17704	-0.474563	-0.847227	-4.96842	0.142857	0.25	0.286227	na	0.3	0.573684	0.0897297	8	0	0	2.25496	1.41053	6.37895	-0.580382	-3.03282	0.65	0.8	0	3	3.89474	1.82078	0.455	na	0.708955	
-1.53834	-0.0409635	-1.22115	-1.52922	-0.147446	-0.727813	-14.4316	0.454545	0.565217	0.534975	na	0.4	0.757895	0.0957343	23	0	0	6.483	3.88947	18.3211	-0.620016	-3.6685	0.45	0.7	2	7	11.1053	2.33083	0.28	na	0.771313	
0.760234	-1.1393	0.620146	0.769202	0.651123	0.833464	3.49474	0.142857	0.272727	0.226195	na	0.6	0.910526	0.16084	22	0	0	6.20113	7.43158	3.93684	0.307525	0.9239	0.25	0.3	1	4	5.68421	-0.270213	0.135	na	0.134561	
0.108741	-3.29113	0.835939	0.724423	0.894329	0.780803	0.6	0	0	0.239707	na	0.6	0.926316	0.139858	15	0	0	4.22804	4.35263	3.75263	0.0456691	0.220657	0.25	0.3	2	2	4.05263	-0.123789	0.12	na	0.229746	
0.0563897	-4.31041	-0.0175755	0.00485018	-0.115919	-0.0733407	2.28421	0.105263	0.2	0.197896	na	0.7	0.952632	0.13385	20	0	0	5.63739	5.72105	3.43684	0.0230001	0.656459	0.2	0.2	3	6	4.57895	-0.59719	0.095	na	0.174793	
0.573057	-2.50237	0.241396	0.392847	0.194659	0.379966	2.72632	0	0	0.196901	na	0.6	0.931579	0.152231	16	0	0	4.50991	5.20526	2.47895	0.238959	0.94938	0.2	0.2	2	4	3.84211	-0.4486	0.115	na	0.192113	
