ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
na	0	0	0	
0.521531	0.7945	0.82	0	
0.214466	1.05933	1.48	0	
0.00836699	1.05933	0.606667	0	
0.0196588	0.7945	0.753333	0	
0.263039	1.32417	1.2	0	
na	0.264833	0.28	0	
na	0	0	0	
0.00793651	0.529667	0.36	0	
0.101356	1.05933	1.19333	0	
na	0.264833	0.22	0	
1	0.7945	1.56	0	
na	0.264833	0.333333	0	
na	0	0	0	
0.130639	0.7945	0.973333	0	
na	0.264833	0.38	0	
na	0.264833	0.453333	0	
na	0.264833	0.08	0	
na	0	0	0	
na	0.264833	0.22	0	
na	0.264833	0.08	0	
na	0.264833	0.08	0	
na	0	0	0	
0.470899	0.7945	1.14	0	
na	0.264833	0.5	0	
0.41914	1.05933	0.88	0	
na	0.264833	0.08	0	
na	0.264833	0.08	0	
na	0.264833	0.08	0	
na	0.264833	0.48	0	
0.0246212	1.05933	0.88	0	
na	0	0	0	
na	0.264833	0.333333	0	
na	0	0	0	
na	0	0	0	
0.53125	0.7945	1.24	0	
0.025974	0.529667	0.5	0	
na	0.264833	0.08	0	
na	0.264833	0.333333	0	
0.0118577	0.529667	0.373333	0	
na	0.264833	0.08	0	
0.0327381	0.529667	0.593333	0	
0.503781	0.7945	0.46	0	
0.139407	1.589	1.96	0	
na	0.264833	0.48	0	
0.274694	1.32417	1.51333	0	
0.00462963	1.05933	0.573333	0	
na	0.264833	0.08	0	
na	0.264833	0.153333	0	
0.396135	1.05933	1.32	0	
na	0.264833	0.08	0	
na	0	0	0	
na	0	0	0	
0.388112	1.05933	1.34	0	
na	0	0	0	
0.502841	0.7945	0.38	0	
0.0283613	0.529667	0.733333	1	
0.0277778	0.529667	0.58	0	
0.0131579	0.529667	0.46	0	
0.0234375	0.529667	0.56	0	
0.26328	1.589	1.99333	1	
0.153646	0.7945	0.38	0	
0.0338164	0.529667	0.573333	0	
na	0	0	0	
0.0767045	0.529667	0.7	0	
na	0.264833	0.08	0	
0.920635	1.05933	1.28	0	
na	0.264833	0.38	0	
0.00127047	0.529667	0.666667	1	
0.00793651	0.529667	0.36	0	
0.592391	0.7945	0.76	0	
