ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
0.33845	16.4197	12.1133	3	
0.0119263	1.05933	0.646667	0	
0.28733	23.3053	26.9067	0	
0.347339	8.20984	10.2867	4	
na	0.264833	0.5	0	
0.162233	17.7438	19.3667	0	
0.272063	25.424	33.2667	2	
0.185409	25.9537	30.62	2	
0.202436	11.9175	9.8	0	
0.325144	13.2417	16.6733	0	
0.175934	12.1823	9.41333	0	
0.345871	21.1867	10.7733	0	
0.483801	20.9218	24.8933	4	
0.203415	17.2142	17.9933	6	
0.240576	2.91317	2.2	0	
0.322799	23.5702	23.02	4	
0.380109	51.9074	71.5133	1	
0.200878	28.3372	31.4533	4	
0.130678	7.41534	7.04667	0	
0.261149	15.89	16.3667	4	
0.207357	13.7713	14.5533	3	
0.0957548	6.356	3.94667	0	
0.230315	29.6613	32.1867	1	
0.31781	15.0955	18.44	1	
0.25733	2.64833	1.87333	0	
0.17557	21.9812	21.3667	1	
0.219461	12.4472	11.8267	5	
0.160923	16.9493	15.52	0	
0.406919	20.1273	27.9267	0	
0.225415	4.767	3.41333	1	
0.245946	16.4197	13.8467	3	
0.175106	9.26917	10.02	1	
0.382906	40.5195	55.3133	0	
0.232391	3.44283	3.38	2	
0.225363	21.7163	24.2933	1	
0.130952	2.64833	1.97333	0	
0.209398	14.0362	16.7733	0	
0.219637	8.47467	8.12667	0	
0.138122	2.3835	2.26667	0	
0.314306	13.7713	12.6	1	
0.334014	15.0955	20.0333	0	
0.326568	11.9175	16.6467	1	
0.286971	4.23734	4.61333	0	
0.246565	3.178	3.80667	3	
0.128984	10.5933	7.29333	1	
0.188254	2.11867	2.04	0	
0.126137	2.11867	1.85333	1	
0.458785	5.82634	8.28667	3	
0.0938718	10.0637	4.72667	0	
0.161266	11.123	13.4733	1	
0.0563771	16.9493	12.1867	0	
0.148335	28.3372	25.2733	0	
0.281145	17.2142	13.2933	0	
0.145537	2.64833	3.29333	1	
0.165935	11.9175	8.56	4	
0.136073	12.4472	10.86	7	
0.564187	30.9855	28.1667	3	
0.195093	13.7713	12.3667	5	
0.383868	1.32417	1.22667	0	
0.248326	16.1548	11.8933	1	
0.419639	10.8582	14.2933	1	
0.346829	2.3835	3.00667	1	
0.306411	24.0998	29.4267	0	
0.189673	3.178	2.1	0	
0.136625	2.91317	2.08667	0	
0.168975	18.0087	15.86	1	
0.274373	20.3922	11.82	0	
0.258851	10.5933	9.80667	2	
0.0770496	1.32417	1.38	0	
0.402153	25.1592	32.6	0	
0.00173611	1.05933	0.32	0	
0.0755449	4.23734	4.31333	0	
0.0998414	1.589	1.8	0	
0.183703	13.2417	10.26	0	
0.257529	22.5108	9.66	2	
0.1448	5.5615	6.09333	0	
0.112074	17.479	15.1733	7	
0.70736	2.3835	3.15333	0	
0.264033	11.6527	9.84	0	
0.111916	20.1273	16.6933	3	
0.227379	15.0955	15.5267	6	
0.0906255	5.29667	3.90667	0	
0.131181	8.20984	6.98667	0	
0.00427264	1.32417	0.74	0	
0.293933	7.68017	9.83333	0	
0.230015	18.8032	21.3733	0	
0.315599	24.0998	20.1467	3	
0.404832	22.7757	32.4333	1	
0.245926	29.9262	23.86	0	
0.194884	17.479	13.7267	1	
0.292199	14.301	11.6133	0	
0.0873555	2.64833	1.80667	0	
0.167333	16.9493	15.4267	0	
0.278836	19.8625	17.7	4	
0.254545	16.9493	19.3533	3	
0.218631	16.6845	19.1467	0	
0.340252	7.41534	7.09333	1	
0.101417	18.5383	17.1867	2	
0.472111	8.7395	7.06	0	
0.297469	12.1823	12.0467	1	
0.115161	5.03184	4.54667	3	
0.0886799	11.3878	8.92	0	
0.490443	22.246	28.6933	6	
0.22834	10.0637	11.0067	0	
0.168789	14.301	10.9667	0	
0.194216	21.1867	14.1867	0	
0.307522	28.3372	31.8533	8	
0.204446	19.5977	19.9267	4	
0.217319	26.2185	23.5533	0	
0.1058	7.945	6.58	1	
0.0936123	16.9493	13.8067	0	
0.179931	13.5065	15.02	4	
na	0.264833	0.28	0	
0.168404	3.70767	4.73333	2	
0.114695	20.9218	19.7067	0	
0.136255	4.23734	4.15333	0	
0.272632	12.9768	15.2733	0	
0.314617	9.26917	10.56	3	
0.130668	5.29667	5.95333	2	
0.105549	8.20984	6.01333	0	
0.205183	2.11867	1.74	0	
0.324457	12.4472	10.3933	2	
0.389911	34.1635	39.3533	0	
0.217691	10.0637	12.1933	5	
0.178945	13.7713	10.2333	1	
0.141748	19.068	12.4733	2	
0.0340728	5.82634	2.96	0	
0.10445	20.1273	15.1	1	
0.121896	11.9175	11.02	1	
0.265939	15.89	21.36	0	
0.0542483	1.85383	1.61333	0	
0.235178	10.5933	11.0733	2	
0.442574	3.178	4.51333	0	
0.008907	1.32417	0.726667	0	
0.42785	2.11867	2.88667	1	
0.404995	3.70767	3.78667	0	
0.25973	26.4833	18.2067	0	
0.405073	13.5065	14.6067	0	
0.319667	25.1592	30.0733	2	
0.107143	0.529667	0.5	0	
0.248692	12.1823	14.74	4	
0.137257	7.1505	4.85333	0	
0.389134	17.7438	17.0667	0	
0.149097	3.9725	4.22	0	
0.284021	20.3922	15.48	4	
0.233539	19.068	20.3067	3	
0.197741	17.7438	16.9533	3	
0.206048	14.301	15.4533	9	
0.265602	10.5933	7.68	0	
0.112505	14.5658	11.8133	1	
0.256235	14.0362	15.86	1	
0.251401	26.2185	28.6533	0	
0.290139	14.5658	9.77333	0	
0.192121	5.82634	6.54667	0	
0.106102	8.20984	5.40667	0	
0.34304	0.7945	1.22	0	
0.336534	18.8032	19.7867	0	
0.21381	19.8625	18.4333	0	
0.259692	26.2185	27.3133	3	
0.282886	23.0405	25.7533	1	
0.147299	16.9493	15.6733	1	
