mlcoalsim version 094beta (20060305)
OUTPUT FILE: date Fri Mar 17 14:46:26 2006 

Input data from the file: /Users/user/Documents/WorkatUB/Stephan/FSall/S20/WallHudson_method/other_alternatives/migration/R00/theta_avg/L1n20thetaS20D1m05x0R00

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 405

N_loci:                1
N_sites:               1000
N_samples:             20
Thetaw:                0.62
Recombination:         0

Npop:                  10
Mig_rate:              0.5

Npop_sampled:         
Ran_factorpop:         0
Same_factorpop:        1
Ssize_pop:             20 0 0 0 0 0 0 0 0 0



Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW*)	value(D/Dmin)	value(H/Hmin)	value(maxhap)	value(maxhap1)
1.3889	2.6104	0.17445	0.58827	1.1327	1.4192	-1.6105	0.33333	0.5	0.62041	na	0.15	0.57368	0.20348	4	0	0	1.1275	1.6684	3.2789	0.74359	-0.22368	0.5	0.5	
-1.5601	0.075061	-1.8293	-2.0266	-2.1136	-2.3215	-2.0316	0.33333	0.57143	0.43367	na	0.2	0.28421	0.13245	7	0	0	1.9731	1.0368	3.0684	-0.73541	-0.16124	0.85	0.85	
0.61051	0.47455	0.86615	0.91468	0.85471	0.91991	0.26316	0	0	0.090909	na	0.15	0.61579	0.17763	2	0	0	0.56374	0.71053	0.44737	0.40355	0.073099	0.45	0.9	
0.19798	12.447	1.5253	1.3138	1.8126	1.5509	-13.621	0.4	0.44643	0.48048	na	0.25	0.67895	0.14615	56	0	0	15.785	16.558	30.179	0.075917	-0.13513	0.5	0.55	
-2.368	2.3272	-3.551	-3.7239	-1.7154	-2.3393	-14.842	0.80952	0.86364	0.81067	na	0.2	0.43158	0.18832	22	0	0	6.2011	2.3684	17.211	-0.95791	-0.3748	0.75	0.9	
-0.59155	-0.096597	0.64952	0.36728	0.6265	0.36152	0.16842	na	na	na	na	0.1	0.18947	na	1	0	0	0.28187	0.18947	0.021053	-0.50803	0.093567	0.9	1	
0.28917	3.2502	0.77839	0.73827	0.82377	0.79125	-4.4316	0.38462	0.5	0.45888	na	0.25	0.69474	0.1465	14	0	0	3.9462	4.2579	8.6895	0.12243	-0.17586	0.5	0.55	
-1.5128	-1.8631	-2.0531	-2.1885	-2.1776	-2.3304	0.18947	0	0	0.0027701	na	0.15	0.19474	0.15	2	0	0	0.56374	0.2	0.010526	-1	0.052632	0.9	0.95	
2.4376	8.0255	1.4372	2.0003	1.5726	2.207	-0.063158	0.8	0.81818	0.84615	na	0.15	0.7	0.2378	11	0	0	3.1006	5.2316	5.2947	1.0652	-0.0031898	0.35	0.65	
-0.16068	-0.53047	1.0065	0.79007	1.0123	0.80872	0.64211	0	0	0.23203	na	0.2	0.56316	0.13246	3	0	0	0.84561	0.79474	0.15263	-0.093239	0.11891	0.65	0.8	
-2.0174	9.6768	-3.2057	-3.3217	-0.88596	-1.5518	-38.4	0.69565	0.70213	0.72483	na	0.15	0.41579	0.18752	47	0	0	13.248	6.5895	44.989	-0.77895	-0.4539	0.75	0.75	
0.73771	3.9326	1.2997	1.3185	1.3777	1.4151	-2.0105	0.66667	0.71429	0.69444	na	0.15	0.62632	0.17256	7	0	0	1.9731	2.4158	4.4263	0.34774	-0.15957	0.55	0.8	
-0.7339	6.3817	-2.0997	-1.973	-1.3182	-1.3714	-7.8421	0.45833	0.52	0.51689	na	0.2	0.64211	0.16852	25	0	0	7.0467	5.7105	13.553	-0.29388	-0.17427	0.55	0.55	
-1.003	-0.69957	-0.75932	-0.95244	-0.87655	-1.0745	-0.84211	0.33333	0.5	0.33735	na	0.2	0.43158	0.10064	4	0	0	1.1275	0.73684	1.5789	-0.53697	-0.11696	0.75	0.8	
-0.2192	0.086851	0.17445	0.075419	0.12807	0.035816	0.82105	0.33333	0.5	0.35114	na	0.2	0.60526	0.12976	4	0	0	1.1275	1.0421	0.22105	-0.11735	0.11404	0.6	0.75	
-0.8562	-2.7702	-0.85557	-0.98834	-1.0136	-1.1486	0.89474	0	0	0.0243	na	0.35	0.81579	0.098166	6	0	0	1.6912	1.2368	0.34211	-0.41639	0.082846	0.35	0.6	
-2.5013	4.3974	-3.746	-3.9319	-0.51876	-1.4571	-55.105	0.82	0.82353	0.84922	na	0.25	0.50526	0.19632	51	0	0	14.375	5.4474	60.553	-0.96255	-0.60028	0.7	0.85	
-1.1644	-0.8793	-1.5396	-1.6477	-1.5962	-1.7172	0.094737	na	na	na	na	0.1	0.1	na	1	0	0	0.28187	0.1	0.0052632	-1	0.052632	0.95	1	
0.10457	12.582	1.7082	1.4317	2.0261	1.6892	-12.653	0.65116	0.65909	0.67465	na	0.2	0.68947	0.14462	44	0	0	12.402	12.726	25.379	0.040495	-0.15976	0.5	0.6	
-1.8507	1.4706	-2.7449	-2.8836	-0.15033	-0.81877	-13.568	0.58333	0.61538	0.63237	na	0.2	0.61579	0.16972	13	0	0	3.6643	1.7947	15.363	-0.79075	-0.57985	0.5	0.9	
0.21679	0.24519	0.21132	0.2463	0.1624	0.21321	-1.0947	0	0	0.081562	na	0.3	0.80526	0.14252	8	0	0	2.255	2.4	3.4947	0.099689	-0.076023	0.3	0.4	
-1.3499	8.5166	1.2928	0.58594	1.5048	0.66948	-24.642	0.68293	0.69048	0.75847	na	0.2	0.36316	0.09044	42	0	0	11.839	7.8368	32.479	-0.52388	-0.32595	0.8	0.8	
1.9069	11.047	1.3427	1.7593	1.5538	2.0399	-2.3158	0.66667	0.67647	0.76165	na	0.25	0.72632	0.20623	34	0	0	9.5836	14.211	16.526	0.74827	-0.03784	0.45	0.45	
-1.5896	3.1444	-2.3188	-2.4469	-0.2537	-0.83888	-17.484	0.58333	0.6	0.61274	na	0.25	0.75263	0.16382	25	0	0	7.0467	4.1526	21.637	-0.63652	-0.38854	0.4	0.7	
1.7826	14.137	1.6515	1.972	1.9788	2.3465	0.8	0.41935	0.44444	0.58406	na	0.3	0.8	0.20208	63	0	0	17.758	25.558	24.758	0.68077	0.0070547	0.4	0.55	
-1.9512	0.79342	-2.9662	-3.099	-0.96339	-1.521	-8.2632	0.6	0.63636	0.60406	na	0.2	0.53684	0.17928	11	0	0	3.1006	1.3947	9.6579	-0.85267	-0.41733	0.65	0.9	
-1.03	-1.9506	-0.75932	-0.96106	-0.87655	-1.0834	-0.65263	0	0	0.010721	na	0.25	0.61579	0.099766	4	0	0	1.1275	0.72632	1.3789	-0.55144	-0.090643	0.6	0.8	
-2.5393	7.7059	-3.9485	-4.1097	-0.85932	-1.7267	-32.968	1	1	1	na	0.1	0.1	0.21794	32	0	0	9.0198	3.2	36.168	-1	-0.57237	0.95	0.95	
-0.14507	0.90275	0.77688	0.595	0.79936	0.61719	-1.5789	0.14286	0.25	0.4171	na	0.25	0.75789	0.13147	8	0	0	2.255	2.1579	3.7368	-0.066711	-0.10965	0.35	0.7	
-1.0895	9.039	1.6997	1.0094	2.01	1.1881	-25.937	0.85	0.85366	0.86728	na	0.2	0.67368	0.10244	41	0	0	11.557	8.4	34.337	-0.42333	-0.35145	0.5	0.6	
-1.7268	1.0719	-2.4551	-2.5997	-1.4153	-1.7943	-2.9684	0.66667	0.71429	0.67105	na	0.15	0.41579	0.18835	7	0	0	1.9731	0.93684	3.9053	-0.81396	-0.23559	0.75	0.95	
-2.3811	4.2127	-3.5986	-3.7659	-1.9154	-2.4891	-9.9474	1	1	1	na	0.1	0.1	0.21794	15	0	0	4.228	1.5	11.447	-1	-0.36842	0.95	0.95	
1.6674	4.836	0.67395	1.1045	0.67947	1.1561	-1.1053	0.83333	0.85714	0.83806	na	0.15	0.54211	0.20761	7	0	0	1.9731	2.9737	4.0789	0.78596	-0.087719	0.6	0.65	
-1.8876	0.41308	-2.2584	-2.4878	-0.23913	-0.85373	-5.0421	0.6	0.66667	0.60234	na	0.15	0.27895	0.18231	6	0	0	1.6912	0.68947	5.7316	-0.91801	-0.46686	0.85	0.95	
0.045355	7.7237	1.7055	1.409	2.0209	1.6611	-9.9053	0.2619	0.34884	0.40478	na	0.3	0.83158	0.14253	43	0	0	12.12	12.258	22.163	0.017582	-0.12797	0.35	0.5	
1.5313	1.467	0.64952	1.01	0.6265	0.99419	-0.11579	na	na	na	na	0.1	0.52105	na	1	0	0	0.28187	0.52105	0.63684	1.3151	-0.064327	0.55	1	
1.1975	7.8733	0.15114	0.53629	0.084633	0.54604	0.23158	0.4	0.46154	0.50292	na	0.25	0.7	0.18074	26	0	0	7.3286	9.5895	9.3579	0.47812	0.0049483	0.5	0.6	
0.50366	5.7381	1.5335	1.4316	1.7217	1.6144	-4.1789	0.26667	0.375	0.46161	na	0.2	0.55263	0.16003	16	0	0	4.5099	5.1211	9.3	0.21002	-0.1451	0.65	0.65	
0.61051	0.47455	0.86615	0.91468	0.85471	0.91991	0.26316	0	0	0.090909	na	0.15	0.61579	0.17763	2	0	0	0.56374	0.71053	0.44737	0.40355	0.073099	0.45	0.9	
2.2826	6.3886	1.2407	1.7954	1.3802	2.0165	-1.2	0.5	0.52941	0.69118	na	0.25	0.77895	0.22436	17	0	0	4.7918	7.7158	8.9158	0.94573	-0.039216	0.35	0.6	
-2.0562	1.7427	-2.9598	-3.1246	-1.788	-2.2149	-3.2211	1	1	1	na	0.1	0.1	0.21794	6	0	0	1.6912	0.6	3.8211	-1	-0.29825	0.95	0.95	
-0.59155	-0.096597	0.64952	0.36728	0.6265	0.36152	0.16842	na	na	na	na	0.1	0.18947	na	1	0	0	0.28187	0.18947	0.021053	-0.50803	0.093567	0.9	1	
0.72261	0.97606	0.64952	0.76517	0.6265	0.75317	-0.78947	na	na	na	na	0.1	0.39474	na	1	0	0	0.28187	0.39474	1.1842	0.62059	-0.4386	0.75	1	
na	na	na	na	na	na	0	na	na	na	na	0.05	0	na	0	0	0	0	0	0	na	na	1	1	
0.70375	0.14511	-0.12425	0.11773	-0.18482	0.069625	0.34737	0	0	0.27569	na	0.2	0.67895	0.177	3	0	0	0.84561	1.0684	0.72105	0.40837	0.064327	0.5	0.7	
-1.8679	0.99813	-2.6268	-2.7841	-0.87655	-1.361	-3.4105	1	1	1	na	0.1	0.1	0.21794	4	0	0	1.1275	0.4	3.8105	-1	-0.47368	0.95	0.95	
2.2664	4.3617	1.0065	1.554	1.0123	1.5907	0.073684	1	1	1	na	0.1	0.52105	0.26053	3	0	0	0.84561	1.5632	1.4895	1.3151	0.013645	0.55	0.55	
-0.28699	-0.23322	-0.59347	-0.58607	-0.66143	-0.65416	0.35789	0	0	0.017544	na	0.15	0.46842	0.14702	2	0	0	0.56374	0.49474	0.13684	-0.1897	0.099415	0.7	0.95	
0.64475	7.8422	0.18205	0.37383	0.12042	0.36434	-1.7368	0.27083	0.34694	0.45093	na	0.35	0.86316	0.16101	49	0	0	13.812	16.026	17.763	0.24852	-0.019692	0.25	0.35	
1.5787	6.7276	1.1771	1.5025	1.2957	1.6717	-3.1895	0.71429	0.73333	0.72431	na	0.2	0.57368	0.19843	15	0	0	4.228	6.0368	9.2263	0.66304	-0.11813	0.6	0.65	
