mlcoalsim version 094beta (20060404)
OUTPUT FILE: date Wed Apr  5 11:20:41 2006 

Input data from the file: /Users/user/Documents/WorkatUB/mlcoal/mlcoalsim094/build/input.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 111

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1000
N_samples:             20
Thetaw:                5
Recombination:         10


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW*)	value(D/Dmin)	value(H/Hmin)	value(maxhap)	value(maxhap1)
-0.74098	-4.0322	-0.054891	-0.29459	0.29749	-0.031266	-1.3263	0	0	0.025456	na	0.55	0.93158	0.10154	13	0	0	3.6643	2.9158	4.2421	-0.31659	-0.05668	0.2	0.25	
0.34181	-0.24325	-0.16179	-0.013267	-0.30667	-0.1096	4.9053	0.10256	0.175	0.18303	na	0.65	0.94211	0.13933	40	0	0	11.275	12.242	7.3368	0.13297	0.068129	0.2	0.25	
-0.54314	-1.8476	-0.81764	-0.85666	-0.75528	-0.83304	-1.0737	0.31579	0.4	0.34435	na	0.55	0.9	0.11305	20	0	0	5.6374	4.8316	5.9053	-0.22154	-0.029825	0.3	0.35	
-0.84149	-0.67658	-1.563	-1.5703	-1.7167	-1.7405	-0.26316	0.086957	0.125	0.16896	na	0.5	0.85263	0.10939	24	0	0	6.7649	5.2895	5.5526	-0.33802	-0.0060916	0.35	0.4	
-1.4541	-2.5642	-1.2212	-1.5003	-1.003	-1.3965	-2.0421	0.31818	0.52174	0.36998	na	0.55	0.88421	0.077098	23	0	0	6.483	4.0316	6.0737	-0.58604	-0.049326	0.3	0.35	
1.4309	3.1256	0.93633	1.2592	1.0366	1.4161	2.9684	0.34783	0.5	0.46979	na	0.4	0.84737	0.18754	24	0	0	6.7649	9.2737	6.3053	0.57477	0.068713	0.35	0.35	
-1.2621	-1.2473	-0.91981	-1.177	-0.47456	-0.84723	-4.9684	0.14286	0.25	0.28623	na	0.3	0.57368	0.08973	8	0	0	2.255	1.4105	6.3789	-0.58038	-0.34503	0.65	0.8	
-1.5383	-0.040964	-1.2212	-1.5292	-0.14745	-0.72781	-14.432	0.45455	0.56522	0.53497	na	0.4	0.75789	0.095734	23	0	0	6.483	3.8895	18.321	-0.62002	-0.34859	0.45	0.7	
0.76023	-1.1393	0.62015	0.7692	0.65112	0.83346	3.4947	0.14286	0.27273	0.22619	na	0.6	0.91053	0.16084	22	0	0	6.2011	7.4316	3.9368	0.30752	0.088251	0.25	0.3	
0.10874	-3.2911	0.83594	0.72442	0.89433	0.7808	0.6	0	0	0.23971	na	0.6	0.92632	0.13986	15	0	0	4.228	4.3526	3.7526	0.045669	0.022222	0.25	0.3	
0.05639	-4.3104	-0.017576	0.0048502	-0.11592	-0.073341	2.2842	0.10526	0.2	0.1979	na	0.7	0.95263	0.13385	20	0	0	5.6374	5.7211	3.4368	0.023	0.06345	0.2	0.2	
0.57306	-2.5024	0.2414	0.39285	0.19466	0.37997	2.7263	0	0	0.1969	na	0.6	0.93158	0.15223	16	0	0	4.5099	5.2053	2.4789	0.23896	0.094664	0.2	0.2	
0.51849	-3.1155	0.49958	0.58807	0.51065	0.62538	1.9895	0.035714	0.068966	0.15827	na	0.75	0.97368	0.1505	29	0	0	8.1742	9.2579	7.2684	0.20547	0.038113	0.1	0.15	
0.33424	-4.7302	0.12943	0.22073	0.059497	0.18024	0.95789	0.19048	0.27273	0.2399	na	0.75	0.97368	0.14187	22	0	0	6.2011	6.7421	5.7842	0.13521	0.024189	0.1	0.2	
-0.95913	-3.2081	-0.96331	-1.1186	-1.2539	-1.406	1.9158	0.05	0.095238	0.12234	na	0.6	0.92105	0.090275	21	0	0	5.9193	4.4316	2.5158	-0.38952	0.050682	0.25	0.3	
