Name of the standard model input file: L1n20nullmodel.out

N_iterations	Seed1	N_loci	Sfix_allthetas	Range_thetant	N_samples	N_sites	Recombination	Mutations	Thetaw	Nintn	Nrec	Npast	Tpast	Npop	Mig_rate	Ifselection	Pop_size	Pop_sel	Sel_nt	Sinit
1000	111	1			20	1000	10		5											

Quantiles:	value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW*)	value(D/Dmin)	value(H/Hmin)	value(maxhap)	value(maxhap1)
Q[2.5%]:	-1.41805	-6.7285	-1.7514	-1.8259	-1.9056	-2.08865	-6.3	0	0	0.0416505	na	0.3	0.723685	0.081521	7.5	0	0	2.11405	1.77105	0.67895	-0.617455	-0.212825	0.15	0.15	
Q[5%]:	-1.1902	-5.7227	-1.4413	-1.52515	-1.5318	-1.6768	-4.69475	0	0	0.0591605	na	0.35	0.76316	0.0882725	9	0	0	2.5368	2.09475	0.92895	-0.509555	-0.162285	0.15	0.2	
Q[95%]:	1.13105	1.0367	1.1109	1.185	1.2471	1.35805	2.9842	0.35714	0.5	0.451635	na	0.75	0.96316	0.17826	29	0	0	8.1742	8.8737	11.1895	0.469065	0.092451	0.45	0.6	
Q[97.5%]:	1.3907	1.7394	1.2681	1.39605	1.4171	1.5795	3.3684	0.37981	0.56386	0.49652	na	0.75	0.97105	0.189365	31	0	0	8.738	9.78425	12.437	0.58027	0.101705	0.5	0.65	


file	N_iterations	Seed1	N_loci	Sfix_allthetas	Range_thetant	N_samples	N_sites	Recombination	Mutations	Thetaw	Nintn	Nrec	Npast	Tpast	Npop	Mig_rate	Ifselection	Pop_size	Pop_sel	Sel_nt	Sinit	Probability	value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW*)	value(D/Dmin)	value(H/Hmin)	value(maxhap)	value(maxhap1)
./Ln20altmodel1.out	10000	974	1			20	1000	0		33.84	1	1	0.1	0.025								P(x<2.5%)	0.272	0.203	0.302	0.325	0.368	0.346	0.024	0	0	0.154	na	0.001	0.029	0.364	0.01	0	0	0.01	0.046	0.11	0.234	0.008	0.023	0.001
./Ln20altmodel1.out	10000	974	1			20	1000	0		33.84	1	1	0.1	0.025								P(x<5%)	0.397	0.291	0.422	0.434	0.512	0.506	0.035	0	0	0.223	na	0.012	0.048	0.51	0.016	0	0	0.016	0.081	0.161	0.378	0.017	0.023	0.015
./Ln20altmodel1.out	10000	974	1			20	1000	0		33.84	1	1	0.1	0.025								P(x>95%)	0.009	0.02	0.002	0.003	0.002	0.003	0.073	0.018	0.004	0.012	na	0.067	0.096	0.006	0.069	0	0	0.069	0.029	0.028	0.008	0.013	0.045	0.024
./Ln20altmodel1.out	10000	974	1			20	1000	0		33.84	1	1	0.1	0.025								P(x>97.5%)	0.004	0.011	0.002	0.001	0.002	0.001	0.043	0.015	0.002	0.006	na	0.067	0.057	0	0.044	0	0	0.044	0.018	0.024	0.001	0.001	0.027	0.016
./L1n20nullmodel.out	1000	111	1			20	1000	10		5	1	1	0.1	0.025								P(x<2.5%)	0.024	0.024	0.022	0.024	0.024	0.024	0.024	0	0	0.024	na	0.008	0.024	0.024	0.024	0	0	0.024	0.024	0.023	0.024	0.024	0.021	0.002
./L1n20nullmodel.out	1000	111	1			20	1000	10		5	1	1	0.1	0.025								P(x<5%)	0.049	0.049	0.047	0.049	0.047	0.049	0.049	0	0	0.049	na	0.039	0.045	0.049	0.04	0	0	0.04	0.049	0.049	0.049	0.049	0.021	0.04
./L1n20nullmodel.out	1000	111	1			20	1000	10		5	1	1	0.1	0.025								P(x>95%)	0.049	0.049	0.048	0.049	0.048	0.049	0.049	0.045	0.043	0.049	na	0.015	0.038	0.048	0.038	0	0	0.038	0.049	0.049	0.049	0.049	0.033	0.033
./L1n20nullmodel.out	1000	111	1			20	1000	10		5	1	1	0.1	0.025								P(x>97.5%)	0.024	0.024	0.023	0.024	0.023	0.024	0.024	0.024	0.024	0.024	na	0.015	0.024	0.024	0.018	0	0	0.018	0.024	0.024	0.024	0.024	0.02	0.013
./L1n20altmodel2.out	1000	405	1			20	1000	0		0.62	1	1	0.1	0.025	10							P(x<2.5%)	0.161490683229814	0	0.161658031088083	0.163730569948187	0.0487046632124352	0.0839378238341969	0.262048192771084	0	0	0.0638766519823789	na	0.895582329317269	0.815261044176707	0.00220264317180617	0.358433734939759	0	0	0.358433734939759	0.34136546184739	0.178714859437751	0.189637305699482	0.290155440414508	0	0
./L1n20altmodel2.out	1000	405	1			20	1000	0		0.62	1	1	0.1	0.025	10							P(x<5%)	0.211180124223602	0	0.186528497409326	0.18860103626943	0.10259067357513	0.132642487046632	0.311244979919679	0	0	0.079295154185022	na	0.96285140562249	0.895582329317269	0.00770925110132159	0.386546184738956	0	0	0.386546184738956	0.375502008032129	0.194779116465863	0.231088082901554	0.347150259067358	0	0
./L1n20altmodel2.out	1000	405	1			20	1000	0		0.62	1	1	0.1	0.025	10							P(x>95%)	0.296066252587992	0.731884057971015	0.38860103626943	0.344041450777202	0.376165803108808	0.325388601036269	0.0170682730923695	0.662995594713656	0.591409691629956	0.704845814977974	na	0	0	0.444933920704846	0.233935742971888	0	0	0.233935742971888	0.233935742971888	0.363453815261044	0.326424870466321	0.0849740932642487	0.721887550200803	0.639558232931727
./L1n20altmodel2.out	1000	405	1			20	1000	0		0.62	1	1	0.1	0.025	10							P(x>97.5%)	0.248447204968944	0.680124223602484	0.333678756476684	0.270466321243523	0.333678756476684	0.267357512953368	0.0150602409638554	0.647577092511013	0.52863436123348	0.666299559471366	na	0	0	0.386563876651982	0.211847389558233	0	0	0.211847389558233	0.199799196787149	0.326305220883534	0.27979274611399	0.0487046632124352	0.612449799196787	0.580321285140562
