mlcoalsim version 094beta (20060305)
OUTPUT FILE: date Fri Mar 17 14:53:29 2006 

Input data from the file: /Users/user/Documents/WorkatUB/Stephan/FSall/S20/WallHudson_method/other_alternatives/expansion/R00/theta_avg/L1n20thetaS20D1m0x010R00

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          10000
Seed1:                 974

N_loci:                1
N_sites:               1000
N_samples:             20
Thetaw:                33.84
Recombination:         0
Nintn:                 1
Ts:                    0
Nrec:                  1
Npast:                 0.1
Tpast:                 0.025


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW*)	value(D/Dmin)	value(H/Hmin)	value(maxhap)	value(maxhap1)
-1.1981	-5.8351	-1.069	-1.2861	-1.3659	-1.5887	-0.13684	0.058824	0.11111	0.081821	na	0.65	0.94211	0.080185	18	0	0	5.0737	3.4579	3.5947	-0.49356	-0.0042235	0.2	0.3	
-1.1224	-1.8211	-2.2341	-2.2176	-2.7182	-2.6743	-0.11579	0.14286	0.26667	0.17464	na	0.45	0.77895	0.084218	15	0	0	4.228	2.9421	3.0579	-0.47138	-0.0042885	0.45	0.5	
-0.085837	-2.7091	-0.19261	-0.18743	-0.32226	-0.29873	3.1789	0	0	0.089175	na	0.6	0.92632	0.1237	18	0	0	5.0737	4.9579	1.7789	-0.035361	0.098116	0.2	0.25	
-2.1434	-4.6265	-3.2635	-3.411	-3.0975	-3.3848	-3.9684	0.25	0.42857	0.25766	na	0.55	0.88947	0.071716	21	0	0	5.9193	2.5947	6.5632	-0.87046	-0.10498	0.25	0.5	
-1.4206	-8.7414	-1.73	-1.9056	-2.1757	-2.3442	1.9579	0.1	0.19048	0.15229	na	0.75	0.95789	0.070414	21	0	0	5.9193	3.7158	1.7579	-0.57694	0.051796	0.2	0.3	
-0.85268	-5.2806	-1.5881	-1.5947	-2.0112	-1.9865	2.2737	0.047619	0.090909	0.084671	na	0.7	0.95789	0.086566	22	0	0	6.2011	4.8211	2.5474	-0.34492	0.057416	0.15	0.2	
-1.3604	-4.7083	-1.2212	-1.4681	-1.5734	-1.8275	-0.042105	0.13636	0.21739	0.21154	na	0.65	0.93684	0.0711	23	0	0	6.483	4.1895	4.2316	-0.5483	-0.001017	0.2	0.3	
-1.4309	-7.2756	-1.3738	-1.6148	-1.7141	-1.9629	2.2842	0	0	0.062544	na	0.65	0.94211	0.074613	16	0	0	4.5099	2.7737	0.48947	-0.59666	0.079313	0.2	0.25	
-0.64131	-8.1074	-0.36129	-0.51615	-0.53213	-0.68901	2.6421	0.095238	0.18182	0.15617	na	0.8	0.97895	0.10264	22	0	0	6.2011	5.1632	2.5211	-0.25942	0.06672	0.1	0.2	
-1.5036	-6.2713	-2.0529	-2.1985	-2.5469	-2.6806	2.3474	0.11111	0.15789	0.14848	na	0.65	0.93158	0.069728	19	0	0	5.3555	3.2263	0.87895	-0.61617	0.068637	0.25	0.35	
