Total	ZnA[Total]	thetaWatt[Total]	ThetaTaj[Total]	Rm[Total]	ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
-33.6144	-5.92366	-9.23024	-9.23024	-9.23024	-5.92366	-9.23024	-9.23024	-9.23024
-31.4992	-3.80847	-9.23024	-9.23024	-9.23024	-3.80847	-9.23024	-9.23024	-9.23024
-33.3175	-5.62682	-9.23024	-9.23024	-9.23024	-5.62682	-9.23024	-9.23024	-9.23024
-31.954	-4.26325	-9.23024	-9.23024	-9.23024	-4.26325	-9.23024	-9.23024	-9.23024
-33.7478	-6.05704	-9.23024	-9.23024	-9.23024	-6.05704	-9.23024	-9.23024	-9.23024
-33.0042	-5.31351	-9.23024	-9.23024	-9.23024	-5.31351	-9.23024	-9.23024	-9.23024
-33.5442	-5.85348	-9.23024	-9.23024	-9.23024	-5.85348	-9.23024	-9.23024	-9.23024
-31.8908	-4.20012	-9.23024	-9.23024	-9.23024	-4.20012	-9.23024	-9.23024	-9.23024
-32.9688	-5.27811	-9.23024	-9.23024	-9.23024	-5.27811	-9.23024	-9.23024	-9.23024
-34.3905	-6.69981	-9.23024	-9.23024	-9.23024	-6.69981	-9.23024	-9.23024	-9.23024
-32.6936	-5.00287	-9.23024	-9.23024	-9.23024	-5.00287	-9.23024	-9.23024	-9.23024
-33.1724	-5.48168	-9.23024	-9.23024	-9.23024	-5.48168	-9.23024	-9.23024	-9.23024
-35.6687	-7.97797	-9.23024	-9.23024	-9.23024	-7.97797	-9.23024	-9.23024	-9.23024
-32.2959	-4.60517	-9.23024	-9.23024	-9.23024	-4.60517	-9.23024	-9.23024	-9.23024
-33.3571	-5.66643	-9.23024	-9.23024	-9.23024	-5.66643	-9.23024	-9.23024	-9.23024
-33.1938	-5.50307	-9.23024	-9.23024	-9.23024	-5.50307	-9.23024	-9.23024	-9.23024
-31.8908	-4.20012	-9.23024	-9.23024	-9.23024	-4.20012	-9.23024	-9.23024	-9.23024
-31.7014	-4.01067	-9.23024	-9.23024	-9.23024	-4.01067	-9.23024	-9.23024	-9.23024
-31.9313	-4.24053	-9.23024	-9.23024	-9.23024	-4.24053	-9.23024	-9.23024	-9.23024
-34.187	-6.51619	-9.23024	-9.23024	-9.21034	-6.51619	-9.23024	-9.23024	-9.21034
-32.8587	-5.168	-9.23024	-9.23024	-9.23024	-5.168	-9.23024	-9.23024	-9.23024
-33.4715	-5.78074	-9.23024	-9.23024	-9.23024	-5.78074	-9.23024	-9.23024	-9.23024
-33.396	-5.70526	-9.23024	-9.23024	-9.23024	-5.70526	-9.23024	-9.23024	-9.23024
-33.039	-5.3483	-9.23024	-9.23024	-9.23024	-5.3483	-9.23024	-9.23024	-9.23024
-33.8423	-6.15155	-9.23024	-9.23024	-9.23024	-6.15155	-9.23024	-9.23024	-9.23024
-33.6486	-5.95785	-9.23024	-9.23024	-9.23024	-5.95785	-9.23024	-9.23024	-9.23024
-32.5579	-4.86723	-9.23024	-9.23024	-9.23024	-4.86723	-9.23024	-9.23024	-9.23024
-32.9328	-5.24208	-9.23024	-9.23024	-9.23024	-5.24208	-9.23024	-9.23024	-9.23024
-33.6144	-5.92366	-9.23024	-9.23024	-9.23024	-5.92366	-9.23024	-9.23024	-9.23024
-32.4498	-4.75909	-9.23024	-9.23024	-9.23024	-4.75909	-9.23024	-9.23024	-9.23024
-35.8794	-8.18869	-9.23024	-9.23024	-9.23024	-8.18869	-9.23024	-9.23024	-9.23024
-31.8496	-4.15888	-9.23024	-9.23024	-9.23024	-4.15888	-9.23024	-9.23024	-9.23024
-31.8496	-4.15888	-9.23024	-9.23024	-9.23024	-4.15888	-9.23024	-9.23024	-9.23024
-31.485	-3.79424	-9.23024	-9.23024	-9.23024	-3.79424	-9.23024	-9.23024	-9.23024
-34.3706	-6.69981	-9.23024	-9.23024	-9.21034	-6.69981	-9.23024	-9.23024	-9.21034
-33.0732	-5.38249	-9.23024	-9.23024	-9.23024	-5.38249	-9.23024	-9.23024	-9.23024
-33.6486	-5.95785	-9.23024	-9.23024	-9.23024	-5.95785	-9.23024	-9.23024	-9.23024
-32.0852	-4.39445	-9.23024	-9.23024	-9.23024	-4.39445	-9.23024	-9.23024	-9.23024
-32.538	-4.86723	-9.23024	-9.23024	-9.21034	-4.86723	-9.23024	-9.23024	-9.21034
-32.3355	-4.64478	-9.23024	-9.23024	-9.23024	-4.64478	-9.23024	-9.23024	-9.23024
-34.1681	-6.47736	-9.23024	-9.23024	-9.23024	-6.47736	-9.23024	-9.23024	-9.23024
-32.0532	-4.36245	-9.23024	-9.23024	-9.23024	-4.36245	-9.23024	-9.23024	-9.23024
-33.4341	-5.74336	-9.23024	-9.23024	-9.23024	-5.74336	-9.23024	-9.23024	-9.23024
-32.5927	-4.90201	-9.23024	-9.23024	-9.23024	-4.90201	-9.23024	-9.23024	-9.23024
-31.5098	-3.81909	-9.23024	-9.23024	-9.23024	-3.81909	-9.23024	-9.23024	-9.23024
-31.9709	-4.28013	-9.23024	-9.23024	-9.23024	-4.28013	-9.23024	-9.23024	-9.23024
-33.6486	-5.95785	-9.23024	-9.23024	-9.23024	-5.95785	-9.23024	-9.23024	-9.23024
-31.7205	-4.02981	-9.23024	-9.23024	-9.23024	-4.02981	-9.23024	-9.23024	-9.23024
-35.7054	-8.01467	-9.23024	-9.23024	-9.23024	-8.01467	-9.23024	-9.23024	-9.23024
-32.1583	-4.48749	-9.23024	-9.23024	-9.21034	-4.48749	-9.23024	-9.23024	-9.21034
-31.2015	-3.51078	-9.23024	-9.23024	-9.23024	-3.51078	-9.23024	-9.23024	-9.23024
-32.6842	-4.99348	-9.23024	-9.23024	-9.23024	-4.99348	-9.23024	-9.23024	-9.23024
-33.0845	-5.39375	-9.23024	-9.23024	-9.23024	-5.39375	-9.23024	-9.23024	-9.23024
-32.0852	-4.39445	-9.23024	-9.23024	-9.23024	-4.39445	-9.23024	-9.23024	-9.23024
-32.205	-4.51425	-9.23024	-9.23024	-9.23024	-4.51425	-9.23024	-9.23024	-9.23024
-32.5536	-4.86284	-9.23024	-9.23024	-9.23024	-4.86284	-9.23024	-9.23024	-9.23024
-32.3935	-4.70275	-9.23024	-9.23024	-9.23024	-4.70275	-9.23024	-9.23024	-9.23024
-31.2064	-3.51572	-9.23024	-9.23024	-9.23024	-3.51572	-9.23024	-9.23024	-9.23024
-31.2979	-3.60719	-9.23024	-9.23024	-9.23024	-3.60719	-9.23024	-9.23024	-9.23024
-30.862	-3.17125	-9.23024	-9.23024	-9.23024	-3.17125	-9.23024	-9.23024	-9.23024
-31.8267	-4.13603	-9.23024	-9.23024	-9.23024	-4.13603	-9.23024	-9.23024	-9.23024
-32.3935	-4.70275	-9.23024	-9.23024	-9.23024	-4.70275	-9.23024	-9.23024	-9.23024
-31.8496	-4.15888	-9.23024	-9.23024	-9.23024	-4.15888	-9.23024	-9.23024	-9.23024
-32.2509	-4.56022	-9.23024	-9.23024	-9.23024	-4.56022	-9.23024	-9.23024	-9.23024
-32.1816	-4.49085	-9.23024	-9.23024	-9.23024	-4.49085	-9.23024	-9.23024	-9.23024
-31.2798	-3.609	-9.23024	-9.23024	-9.21034	-3.609	-9.23024	-9.23024	-9.21034
-31.3398	-3.6491	-9.23024	-9.23024	-9.23024	-3.6491	-9.23024	-9.23024	-9.23024
