Total	ZnA[Total]	thetaWatt[Total]	ThetaTaj[Total]	Rm[Total]	ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
-11.9861	-1.30785	-3.21888	-4.24053	-3.21888	-1.30785	-3.21888	-4.24053	-3.21888	
-11.9861	-1.30785	-3.21888	-4.24053	-3.21888	-1.30785	-3.21888	-4.24053	-3.21888	
-13.1818	-1.83258	-2.69415	-4.24053	-4.41455	-1.83258	-2.69415	-4.24053	-4.41455	
-13.7371	-1.83258	-5.05146	-4.08044	-2.77259	-1.83258	-5.05146	-4.08044	-2.77259	
-12.3884	-1.59702	-3.93223	-4.24053	-2.61867	-1.59702	-3.93223	-4.24053	-2.61867	
-12.025	-1.83258	-3.54391	-3.79424	-2.85423	-1.83258	-3.54391	-3.79424	-2.85423	
-13.3476	-2.0433	-4.08044	-4.81589	-2.40795	-2.0433	-4.08044	-4.81589	-2.40795	
-13.3476	-2.0433	-4.08044	-4.81589	-2.40795	-2.0433	-4.08044	-4.81589	-2.40795	
-13.3476	-2.0433	-4.08044	-4.81589	-2.40795	-2.0433	-4.08044	-4.81589	-2.40795	
-13.3476	-2.0433	-4.08044	-4.81589	-2.40795	-2.0433	-4.08044	-4.81589	-2.40795	
-11.6164	-1.55306	-2.85423	-3.66516	-3.54391	-1.55306	-2.85423	-3.66516	-3.54391	
-11.3166	-1.12424	-3.21888	-3.4296	-3.54391	-1.12424	-3.21888	-3.4296	-3.54391	
-11.3166	-1.12424	-3.21888	-3.4296	-3.54391	-1.12424	-3.21888	-3.4296	-3.54391	
-12.399	-1.51005	-3.79424	-4.24053	-2.85423	-1.51005	-3.79424	-4.24053	-2.85423	
-12.399	-1.51005	-3.79424	-4.24053	-2.85423	-1.51005	-3.79424	-4.24053	-2.85423	
-12.9093	-2.0433	-3.32146	-4.60517	-2.93935	-2.0433	-3.32146	-4.60517	-2.93935	
-12.6641	-1.30785	-4.24053	-3.79424	-3.32146	-1.30785	-4.24053	-3.79424	-3.32146	
-12.2076	-1.93517	-3.21888	-3.93223	-3.1213	-1.93517	-3.21888	-3.93223	-3.1213	
-12.2076	-1.93517	-3.21888	-3.93223	-3.1213	-1.93517	-3.21888	-3.93223	-3.1213	
-13.6596	-1.735	-4.41455	-4.81589	-2.69415	-1.735	-4.41455	-4.81589	-2.69415	
-14.0067	-2.15762	-4.81589	-4.41455	-2.61867	-2.15762	-4.81589	-4.41455	-2.61867	
-14.0067	-2.15762	-4.81589	-4.41455	-2.61867	-2.15762	-4.81589	-4.41455	-2.61867	
-14.0067	-2.15762	-4.81589	-4.41455	-2.61867	-2.15762	-4.81589	-4.41455	-2.61867	
-14.0067	-2.15762	-4.81589	-4.41455	-2.61867	-2.15762	-4.81589	-4.41455	-2.61867	
-12.5281	-1.51005	-3.79424	-4.60517	-2.61867	-1.51005	-3.79424	-4.60517	-2.61867	
-12.5281	-1.51005	-3.79424	-4.60517	-2.61867	-1.51005	-3.79424	-4.60517	-2.61867	
-12.5281	-1.51005	-3.79424	-4.60517	-2.61867	-1.51005	-3.79424	-4.60517	-2.61867	
-12.5281	-1.51005	-3.79424	-4.60517	-2.61867	-1.51005	-3.79424	-4.60517	-2.61867	
-12.5281	-1.51005	-3.79424	-4.60517	-2.61867	-1.51005	-3.79424	-4.60517	-2.61867	
-12.5281	-1.51005	-3.79424	-4.60517	-2.61867	-1.51005	-3.79424	-4.60517	-2.61867	
-13.2242	-1.83258	-4.24053	-3.93223	-3.21888	-1.83258	-4.24053	-3.93223	-3.21888	
-13.2242	-1.83258	-4.24053	-3.93223	-3.21888	-1.83258	-4.24053	-3.93223	-3.21888	
-13.6328	-1.68794	-4.08044	-3.93223	-3.93223	-1.68794	-4.08044	-3.93223	-3.93223	
-13.6328	-1.68794	-4.08044	-3.93223	-3.93223	-1.68794	-4.08044	-3.93223	-3.93223	
-13.6328	-1.68794	-4.08044	-3.93223	-3.93223	-1.68794	-4.08044	-3.93223	-3.93223	
-13.6328	-1.68794	-4.08044	-3.93223	-3.93223	-1.68794	-4.08044	-3.93223	-3.93223	
-13.6328	-1.68794	-4.08044	-3.93223	-3.93223	-1.68794	-4.08044	-3.93223	-3.93223	
-13.6328	-1.68794	-4.08044	-3.93223	-3.93223	-1.68794	-4.08044	-3.93223	-3.93223	
-13.6328	-1.68794	-4.08044	-3.93223	-3.93223	-1.68794	-4.08044	-3.93223	-3.93223	
-14.7964	-1.735	-4.81589	-5.62682	-2.61867	-1.735	-4.81589	-5.62682	-2.61867	
-14.7964	-1.735	-4.81589	-5.62682	-2.61867	-1.735	-4.81589	-5.62682	-2.61867	
-13.8082	-1.7832	-3.54391	-5.62682	-2.85423	-1.7832	-3.54391	-5.62682	-2.85423	
-13.8082	-1.7832	-3.54391	-5.62682	-2.85423	-1.7832	-3.54391	-5.62682	-2.85423	
-13.8992	-1.9885	-4.24053	-4.81589	-2.85423	-1.9885	-4.24053	-4.81589	-2.85423	
-18.212	-1.9885	-5.99146	-7.82405	-2.40795	-1.9885	-5.99146	-7.82405	-2.40795	
-16.396	-1.68794	-6.43775	-5.99146	-2.27887	-1.68794	-6.43775	-5.99146	-2.27887	
-16.396	-1.68794	-6.43775	-5.99146	-2.27887	-1.68794	-6.43775	-5.99146	-2.27887	
-13.4128	-1.735	-3.93223	-5.05146	-2.69415	-1.735	-3.93223	-5.05146	-2.69415	
-13.4128	-1.735	-3.93223	-5.05146	-2.69415	-1.735	-3.93223	-5.05146	-2.69415	
-13.1317	-1.55306	-3.54391	-4.24053	-3.79424	-1.55306	-3.54391	-4.24053	-3.79424	
-13.1317	-1.55306	-3.54391	-4.24053	-3.79424	-1.55306	-3.54391	-4.24053	-3.79424	
-13.1317	-1.55306	-3.54391	-4.24053	-3.79424	-1.55306	-3.54391	-4.24053	-3.79424	
-13.1317	-1.55306	-3.54391	-4.24053	-3.79424	-1.55306	-3.54391	-4.24053	-3.79424	
-12.6769	-2.34237	-3.32146	-4.24053	-2.77259	-2.34237	-3.32146	-4.24053	-2.77259	
-12.6769	-2.34237	-3.32146	-4.24053	-2.77259	-2.34237	-3.32146	-4.24053	-2.77259	
-12.6769	-2.34237	-3.32146	-4.24053	-2.77259	-2.34237	-3.32146	-4.24053	-2.77259	
-12.6769	-2.34237	-3.32146	-4.24053	-2.77259	-2.34237	-3.32146	-4.24053	-2.77259	
-12.6769	-2.34237	-3.32146	-4.24053	-2.77259	-2.34237	-3.32146	-4.24053	-2.77259	
-12.6769	-2.34237	-3.32146	-4.24053	-2.77259	-2.34237	-3.32146	-4.24053	-2.77259	
-12.6769	-2.34237	-3.32146	-4.24053	-2.77259	-2.34237	-3.32146	-4.24053	-2.77259	
-12.6769	-2.34237	-3.32146	-4.24053	-2.77259	-2.34237	-3.32146	-4.24053	-2.77259	
-12.6769	-2.34237	-3.32146	-4.24053	-2.77259	-2.34237	-3.32146	-4.24053	-2.77259	
-12.9922	-1.68794	-4.08044	-4.60517	-2.61867	-1.68794	-4.08044	-4.60517	-2.61867	
-12.9922	-1.68794	-4.08044	-4.60517	-2.61867	-1.68794	-4.08044	-4.60517	-2.61867	
-12.9922	-1.68794	-4.08044	-4.60517	-2.61867	-1.68794	-4.08044	-4.60517	-2.61867	
-13.1283	-1.51005	-4.60517	-4.60517	-2.40795	-1.51005	-4.60517	-4.60517	-2.40795	
-13.1283	-1.51005	-4.60517	-4.60517	-2.40795	-1.51005	-4.60517	-4.60517	-2.40795	
-13.1283	-1.51005	-4.60517	-4.60517	-2.40795	-1.51005	-4.60517	-4.60517	-2.40795	
-11.7403	-1.83258	-3.93223	-3.93223	-2.0433	-1.83258	-3.93223	-3.93223	-2.0433	
-11.7403	-1.83258	-3.93223	-3.93223	-2.0433	-1.83258	-3.93223	-3.93223	-2.0433	
-11.7403	-1.83258	-3.93223	-3.93223	-2.0433	-1.83258	-3.93223	-3.93223	-2.0433	
-11.7403	-1.83258	-3.93223	-3.93223	-2.0433	-1.83258	-3.93223	-3.93223	-2.0433	
-12.596	-1.38629	-3.66516	-4.60517	-2.93935	-1.38629	-3.66516	-4.60517	-2.93935	
-12.596	-1.38629	-3.66516	-4.60517	-2.93935	-1.38629	-3.66516	-4.60517	-2.93935	
-12.596	-1.38629	-3.66516	-4.60517	-2.93935	-1.38629	-3.66516	-4.60517	-2.93935	
-12.596	-1.38629	-3.66516	-4.60517	-2.93935	-1.38629	-3.66516	-4.60517	-2.93935	
-13.4054	-1.64196	-4.81589	-4.60517	-2.34237	-1.64196	-4.81589	-4.60517	-2.34237	
-13.4054	-1.64196	-4.81589	-4.60517	-2.34237	-1.64196	-4.81589	-4.60517	-2.34237	
-12.2038	-1.7832	-4.08044	-3.79424	-2.54593	-1.7832	-4.08044	-3.79424	-2.54593	
-12.2038	-1.7832	-4.08044	-3.79424	-2.54593	-1.7832	-4.08044	-3.79424	-2.54593	
-11.5411	-1.735	-3.66516	-3.66516	-2.47575	-1.735	-3.66516	-3.66516	-2.47575	
-11.5411	-1.735	-3.66516	-3.66516	-2.47575	-1.735	-3.66516	-3.66516	-2.47575	
-11.5411	-1.735	-3.66516	-3.66516	-2.47575	-1.735	-3.66516	-3.66516	-2.47575	
-15.6849	-1.34669	-4.60517	-5.31852	-4.41455	-1.34669	-4.60517	-5.31852	-4.41455	
-15.6849	-1.34669	-4.60517	-5.31852	-4.41455	-1.34669	-4.60517	-5.31852	-4.41455	
-16.3729	-2.27887	-5.99146	-5.62682	-2.47575	-2.27887	-5.99146	-5.62682	-2.47575	
-15.242	-2.21733	-5.99146	-4.81589	-2.21733	-2.21733	-5.99146	-4.81589	-2.21733	
-16.0548	-2.15762	-6.43775	-4.60517	-2.85423	-2.15762	-6.43775	-4.60517	-2.85423	
-13.3218	-1.83258	-4.60517	-4.60517	-2.27887	-1.83258	-4.60517	-4.60517	-2.27887	
-13.3218	-1.83258	-4.60517	-4.60517	-2.27887	-1.83258	-4.60517	-4.60517	-2.27887	
-13.3218	-1.83258	-4.60517	-4.60517	-2.27887	-1.83258	-4.60517	-4.60517	-2.27887	
-12.4696	-2.09964	-3.66516	-3.93223	-2.77259	-2.09964	-3.66516	-3.93223	-2.77259	
-12.4696	-2.09964	-3.66516	-3.93223	-2.77259	-2.09964	-3.66516	-3.93223	-2.77259	
-12.4696	-2.09964	-3.66516	-3.93223	-2.77259	-2.09964	-3.66516	-3.93223	-2.77259	
-12.4696	-2.09964	-3.66516	-3.93223	-2.77259	-2.09964	-3.66516	-3.93223	-2.77259	
-12.4696	-2.09964	-3.66516	-3.93223	-2.77259	-2.09964	-3.66516	-3.93223	-2.77259	
