Total	ZnA[Total]	thetaWatt[Total]	ThetaTaj[Total]	Rm[Total]	ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
-33.6144	-5.92366	-9.23024	-9.23024	-9.23024	-5.92366	-9.23024	-9.23024	-9.23024
-32.9688	-5.27811	-9.23024	-9.23024	-9.23024	-5.27811	-9.23024	-9.23024	-9.23024
-32.7018	-5.01105	-9.23024	-9.23024	-9.23024	-5.01105	-9.23024	-9.23024	-9.23024
-36.921	-9.23024	-9.23024	-9.23024	-9.23024	-9.23024	-9.23024	-9.23024	-9.23024
-32.3695	-4.6788	-9.23024	-9.23024	-9.23024	-4.6788	-9.23024	-9.23024	-9.23024
-31.5204	-3.82964	-9.23024	-9.23024	-9.23024	-3.82964	-9.23024	-9.23024	-9.23024
-30.7304	-3.03965	-9.23024	-9.23024	-9.23024	-3.03965	-9.23024	-9.23024	-9.23024
-30.6635	-2.97276	-9.23024	-9.23024	-9.23024	-2.97276	-9.23024	-9.23024	-9.23024
-32.7896	-5.09889	-9.23024	-9.23024	-9.23024	-5.09889	-9.23024	-9.23024	-9.23024
-31.3559	-3.66516	-9.23024	-9.23024	-9.23024	-3.66516	-9.23024	-9.23024	-9.23024
-34.5587	-6.86797	-9.23024	-9.23024	-9.23024	-6.86797	-9.23024	-9.23024	-9.23024
-32.7422	-5.05146	-9.23024	-9.23024	-9.23024	-5.05146	-9.23024	-9.23024	-9.23024
-33.9905	-6.29977	-9.23024	-9.23024	-9.23024	-6.29977	-9.23024	-9.23024	-9.23024
-36.921	-9.23024	-9.23024	-9.23024	-9.23024	-9.23024	-9.23024	-9.23024	-9.23024
-32.134	-4.44323	-9.23024	-9.23024	-9.23024	-4.44323	-9.23024	-9.23024	-9.23024
-34.6222	-6.93147	-9.23024	-9.23024	-9.23024	-6.93147	-9.23024	-9.23024	-9.23024
-32.3522	-4.66151	-9.23024	-9.23024	-9.23024	-4.66151	-9.23024	-9.23024	-9.23024
-32.0027	-4.31196	-9.23024	-9.23024	-9.23024	-4.31196	-9.23024	-9.23024	-9.23024
-30.9513	-3.26054	-9.23024	-9.23024	-9.23024	-3.26054	-9.23024	-9.23024	-9.23024
-30.3849	-2.69415	-9.23024	-9.23024	-9.23024	-2.69415	-9.23024	-9.23024	-9.23024
-30.6989	-3.00815	-9.23024	-9.23024	-9.23024	-3.00815	-9.23024	-9.23024	-9.23024
-30.3449	-2.67405	-9.23024	-9.21034	-9.23024	-2.67405	-9.23024	-9.21034	-9.23024
-30.4233	-2.75249	-9.23024	-9.21034	-9.23024	-2.75249	-9.23024	-9.21034	-9.23024
-30.0132	-2.34237	-9.23024	-9.21034	-9.23024	-2.34237	-9.23024	-9.21034	-9.23024
-25.3753	-2.69415	-6.43775	-7.01312	-9.23024	-2.69415	-6.43775	-7.01312	-9.23024
-30.545	-2.85423	-9.23024	-9.23024	-9.23024	-2.85423	-9.23024	-9.23024	-9.23024
-21.1042	-2.40795	-5.05146	-4.41455	-9.23024	-2.40795	-5.05146	-4.41455	-9.23024
-23.3381	-2.85423	-5.62682	-5.62682	-9.23024	-2.85423	-5.62682	-5.62682	-9.23024
