Total	ZnA[Total]	thetaWatt[Total]	ThetaTaj[Total]	Rm[Total]	ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
-13.564	-2.09964	-4.24053	-4.60517	-2.61867	-2.09964	-4.24053	-4.60517	-2.61867	
-13.564	-2.09964	-4.24053	-4.60517	-2.61867	-2.09964	-4.24053	-4.60517	-2.61867	
-11.8193	-1.93517	-3.79424	-3.54391	-2.54593	-1.93517	-3.79424	-3.54391	-2.54593	
-11.8193	-1.93517	-3.79424	-3.54391	-2.54593	-1.93517	-3.79424	-3.54391	-2.54593	
-11.8193	-1.93517	-3.79424	-3.54391	-2.54593	-1.93517	-3.79424	-3.54391	-2.54593	
-11.8193	-1.93517	-3.79424	-3.54391	-2.54593	-1.93517	-3.79424	-3.54391	-2.54593	
-11.8193	-1.93517	-3.79424	-3.54391	-2.54593	-1.93517	-3.79424	-3.54391	-2.54593	
-12.7289	-1.68794	-4.08044	-4.41455	-2.54593	-1.68794	-4.08044	-4.41455	-2.54593	
-12.6628	-1.88322	-4.08044	-4.08044	-2.61867	-1.88322	-4.08044	-4.08044	-2.61867	
-12.6628	-1.88322	-4.08044	-4.08044	-2.61867	-1.88322	-4.08044	-4.08044	-2.61867	
-12.6628	-1.88322	-4.08044	-4.08044	-2.61867	-1.88322	-4.08044	-4.08044	-2.61867	
-12.0231	-1.93517	-3.66516	-4.08044	-2.34237	-1.93517	-3.66516	-4.08044	-2.34237	
-12.6835	-1.9885	-3.54391	-4.60517	-2.54593	-1.9885	-3.54391	-4.60517	-2.54593	
-12.6835	-1.9885	-3.54391	-4.60517	-2.54593	-1.9885	-3.54391	-4.60517	-2.54593	
-14.6637	-1.7832	-4.24053	-5.31852	-3.32146	-1.7832	-4.24053	-5.31852	-3.32146	
-12.972	-2.09964	-4.24053	-4.41455	-2.21733	-2.09964	-4.24053	-4.41455	-2.21733	
-12.7305	-1.46794	-3.66516	-5.05146	-2.54593	-1.46794	-3.66516	-5.05146	-2.54593	
