value(Q)	value(maxhap1)		P1
0.157216	1.000000		3.700273
0.435044	0.033603		8.450877
0.909491	1.000000		0.189740
0.324032	1.000000		2.253824
0.849685	1.000000		0.325779
0.458646	1.000000		1.558954
0.789079	0.906491		0.670127
0.986299	1.000000		0.027592
0.736274	0.906491		0.808656
0.435044	0.181218		5.080726
0.297030	1.000000		2.427846
0.676668	0.906491		0.977499
0.465447	1.000000		1.529516
0.713471	1.000000		0.675226
0.071807	0.906491		5.463891
0.884888	1.000000		0.244587
0.536454	0.906491		1.441899
0.612061	0.906491		1.178195
0.789079	1.000000		0.473778
0.986299	0.906491		0.223941
0.171817	0.906491		3.718998
0.458646	0.906491		1.755303
0.066607	0.181218		8.834009
0.817082	1.000000		0.404032
0.782678	0.906491		0.686416
0.350035	1.000000		2.099444
0.066607	1.000000		5.417901
0.612061	0.906491		1.178195
0.536454	1.000000		1.245550
0.117212	0.906491		4.483896
0.040204	0.906491		6.623926
0.071807	0.906491		5.463891
0.878088	0.906491		0.456366
0.743074	0.906491		0.790268
0.324032	1.000000		2.253824
0.676668	0.906491		0.977499
0.884888	0.906491		0.440936
0.458646	0.906491		1.755303
0.580058	0.181218		4.505362
0.965097	0.906491		0.267403
0.612061	0.906491		1.178195
0.036404	1.000000		6.626173
0.536454	0.906491		1.441899
0.943094	1.000000		0.117178
0.218422	0.181218		6.458762
0.177818	0.181218		6.870100
0.123612	1.000000		4.181209
0.230623	1.000000		2.933941
0.078008	1.000000		5.101893
0.230623	0.906491		3.130290
0.840284	0.906491		0.544380
0.171817	0.906491		3.718998
0.271827	1.000000		2.605178
0.001400	0.181218		16.558474
0.840284	1.000000		0.348031
0.743074	0.906491		0.790268
0.271827	1.000000		2.605178
0.986299	0.906491		0.223941
0.230623	0.906491		3.130290
0.375638	0.906491		2.154610
0.536454	1.000000		1.245550
0.157216	1.000000		3.700273
0.548655	1.000000		1.200571
0.909491	1.000000		0.189740
0.403840	1.000000		1.813471
0.849685	0.906491		0.522128
0.676668	1.000000		0.781150
0.375638	1.000000		1.958261
0.878088	0.906491		0.456366
0.297030	1.000000		2.427846
0.736274	0.906491		0.808656
0.090209	1.000000		4.811252
0.066607	0.181218		8.834009
0.736274	0.906491		0.808656
0.375638	0.906491		2.154610
0.814081	0.181218		3.827498
0.817082	0.906491		0.600381
0.993299	1.000000		0.013446
0.817082	0.906491		0.600381
0.403840	1.000000		1.813471
0.736274	0.906491		0.808656
0.324032	0.033603		9.040082
0.612061	0.906491		1.178195
0.230623	0.906491		3.130290
0.458646	0.906491		1.755303
0.022202	0.906491		7.811475
0.782678	1.000000		0.490067
0.230623	0.906491		3.130290
0.580058	1.000000		1.089254
0.171817	1.000000		3.522649
0.458646	1.000000		1.558954
0.684668	1.000000		0.757641
0.123612	1.000000		4.181209
0.296830	0.906491		2.625543
0.817082	0.906491		0.600381
0.324032	1.000000		2.253824
0.926093	1.000000		0.153562
0.218422	1.000000		3.042654
0.713471	1.000000		0.675226
0.840284	0.906491		0.544380
0.658066	1.000000		0.836901
0.123612	0.181218		7.597317
0.040204	0.906491		6.623926
0.766077	0.906491		0.729295
0.986299	0.906491		0.223941
0.965097	1.000000		0.071054
0.490649	1.000000		1.424052
0.536454	0.906491		1.441899
0.612061	1.000000		0.981846
0.271827	1.000000		2.605178
0.789079	1.000000		0.473778
0.029803	1.000000		7.026294
0.782678	0.906491		0.686416
0.633263	0.181218		4.329846
0.782678	1.000000		0.490067
0.736274	0.906491		0.808656
0.117212	0.906491		4.483896
0.713471	0.906491		0.871575
0.743074	0.906491		0.790268
0.105011	0.181218		7.923498
0.713471	0.906491		0.871575
0.375638	0.906491		2.154610
0.840284	1.000000		0.348031
0.817082	1.000000		0.404032
0.884888	0.906491		0.440936
0.612061	0.906491		1.178195
0.909491	0.906491		0.386090
1.000000	1.000000		0.000000
0.536454	1.000000		1.245550
0.782678	0.906491		0.686416
0.324032	1.000000		2.253824
0.736274	0.906491		0.808656
0.817082	1.000000		0.404032
0.435044	0.181218		5.080726
0.536454	0.906491		1.441899
0.071807	0.906491		5.463891
0.465447	0.906491		1.725865
0.536454	0.906491		1.441899
0.536454	0.906491		1.441899
0.782678	0.906491		0.686416
0.536454	1.000000		1.245550
0.197820	0.181218		6.656905
0.465447	0.906491		1.725865
0.609061	1.000000		0.991674
0.965097	0.033603		6.857313
0.814081	0.906491		0.607739
0.296830	1.000000		2.429194
0.536454	1.000000		1.245550
0.157216	0.906491		3.896622
0.435044	0.906491		1.860968
0.230623	0.906491		3.130290
0.435044	1.000000		1.664618
0.465447	0.906491		1.725865
0.375638	0.906491		2.154610
0.817082	0.906491		0.600381
0.736274	0.906491		0.808656
0.736274	0.906491		0.808656
0.117212	0.906491		4.483896
0.536454	0.906491		1.441899
0.013601	0.033603		15.381429
0.536454	0.906491		1.441899
0.609061	1.000000		0.991674
0.296830	1.000000		2.429194
0.971697	1.000000		0.057422
0.066607	1.000000		5.417901
0.078008	0.181218		8.518001
0.840284	1.000000		0.348031
0.548655	1.000000		1.200571
0.458646	0.906491		1.755303
0.736274	0.906491		0.808656
0.230623	1.000000		2.933941
0.350035	0.906491		2.295793
0.548655	1.000000		1.200571
0.612061	0.906491		1.178195
0.271827	1.000000		2.605178
0.324032	1.000000		2.253824
0.458646	1.000000		1.558954
0.403840	1.000000		1.813471
0.171817	0.906491		3.718998
0.123612	1.000000		4.181209
0.536454	0.906491		1.441899
0.171817	0.906491		3.718998
0.536454	1.000000		1.245550
0.676668	0.906491		0.977499
0.519452	1.000000		1.309962
0.736274	0.906491		0.808656
0.117212	0.906491		4.483896
0.376238	1.000000		1.955069
0.297030	1.000000		2.427846
0.536454	1.000000		1.245550
0.071807	1.000000		5.267542
0.993299	0.906491		0.209796
0.676668	1.000000		0.781150
0.993299	0.181218		3.429554
0.612061	1.000000		0.981846
0.078008	1.000000		5.101893
0.536454	0.906491		1.441899
0.138614	1.000000		3.952126
0.965097	0.906491		0.267403
0.930693	0.906491		0.340001
0.862686	1.000000		0.295408
0.862686	0.906491		0.491758
0.849685	0.906491		0.522128
1.000000	0.906491		0.196349
0.909491	0.906491		0.386090
0.609061	0.906491		1.188023
0.817082	0.906491		0.600381
0.548655	1.000000		1.200571
0.736274	0.906491		0.808656
0.736274	0.906491		0.808656
0.736274	1.000000		0.612307
0.986299	1.000000		0.027592
0.230623	0.906491		3.130290
0.171817	1.000000		3.522649
0.044004	1.000000		6.246931
0.676668	0.906491		0.977499
0.736274	0.906491		0.808656
0.782678	0.906491		0.686416
0.297030	1.000000		2.427846
0.458646	0.906491		1.755303
0.078008	1.000000		5.101893
0.900090	1.000000		0.210521
0.884888	0.906491		0.440936
0.884888	1.000000		0.244587
0.002000	1.000000		12.429016
0.658066	1.000000		0.836901
0.171817	0.906491		3.718998
0.612061	0.906491		1.178195
0.766077	1.000000		0.532946
0.633263	1.000000		0.913738
0.900090	0.906491		0.406870
0.676668	1.000000		0.781150
0.296830	0.906491		2.625543
0.001400	0.181218		16.558474
0.090209	0.181218		8.227359
0.177818	1.000000		3.453992
0.458646	0.906491		1.755303
0.015802	1.000000		8.295291
0.071807	1.000000		5.267542
0.736274	0.906491		0.808656
0.435044	1.000000		1.664618
0.862686	1.000000		0.295408
0.006201	0.906491		10.362561
0.849685	1.000000		0.325779
0.548655	1.000000		1.200571
0.676668	0.906491		0.977499
0.013601	0.033603		15.381429
0.612061	0.906491		1.178195
0.840284	1.000000		0.348031
0.117212	1.000000		4.287547
0.271827	1.000000		2.605178
0.350035	0.181218		5.515552
0.297030	1.000000		2.427846
0.926093	1.000000		0.153562
0.926093	1.000000		0.153562
0.536454	0.906491		1.441899
0.658066	1.000000		0.836901
0.950295	1.000000		0.101966
0.612061	0.906491		1.178195
0.817082	1.000000		0.404032
0.324032	1.000000		2.253824
0.271827	1.000000		2.605178
0.230623	1.000000		2.933941
0.403840	0.181218		5.229579
0.296830	0.906491		2.625543
0.536454	0.906491		1.441899
0.849685	0.906491		0.522128
0.580058	0.906491		1.285603
0.055006	1.000000		5.800644
0.458646	1.000000		1.558954
0.849685	0.906491		0.522128
0.297030	1.000000		2.427846
0.580058	1.000000		1.089254
0.814081	1.000000		0.411390
0.536454	0.906491		1.441899
0.548655	0.906491		1.396921
0.862686	0.906491		0.491758
0.036404	0.181218		10.042281
0.244024	1.000000		2.820974
0.849685	0.906491		0.522128
0.519452	1.000000		1.309962
0.609061	1.000000		0.991674
0.230623	0.906491		3.130290
0.078008	1.000000		5.101893
0.782678	0.906491		0.686416
0.766077	1.000000		0.532946
0.105011	0.033603		11.293648
0.580058	1.000000		1.089254
0.736274	0.906491		0.808656
0.676668	0.906491		0.977499
0.271827	1.000000		2.605178
0.171817	0.906491		3.718998
0.684668	1.000000		0.757641
0.965097	0.906491		0.267403
0.138614	0.181218		7.368234
0.066607	1.000000		5.417901
0.296830	0.906491		2.625543
0.244024	0.906491		3.017323
0.536454	0.906491		1.441899
0.580058	1.000000		1.089254
0.297030	0.181218		5.843954
0.350035	0.906491		2.295793
0.766077	1.000000		0.532946
0.930693	0.906491		0.340001
0.375638	0.906491		2.154610
0.676668	0.906491		0.977499
0.862686	1.000000		0.295408
0.971697	0.906491		0.253771
0.536454	1.000000		1.245550
0.993299	1.000000		0.013446
0.435044	1.000000		1.664618
0.676668	1.000000		0.781150
0.271827	1.000000		2.605178
0.993299	1.000000		0.013446
0.766077	1.000000		0.532946
0.138614	0.181218		7.368234
0.612061	0.906491		1.178195
0.612061	0.906491		1.178195
0.840284	1.000000		0.348031
0.230623	0.906491		3.130290
0.171817	1.000000		3.522649
0.782678	0.906491		0.686416
0.171817	0.906491		3.718998
0.218422	1.000000		3.042654
0.171817	0.906491		3.718998
0.766077	1.000000		0.532946
0.105011	1.000000		4.507390
0.105011	0.906491		4.703739
0.684668	0.906491		0.953990
0.950295	0.906491		0.298315
0.782678	1.000000		0.490067
0.071807	0.906491		5.463891
0.971697	0.906491		0.253771
0.090209	1.000000		4.811252
0.900090	0.906491		0.406870
0.609061	1.000000		0.991674
0.197820	1.000000		3.240798
0.950295	1.000000		0.101966
0.218422	1.000000		3.042654
0.580058	1.000000		1.089254
0.609061	1.000000		0.991674
0.950295	1.000000		0.101966
0.375638	0.906491		2.154610
0.713471	1.000000		0.675226
0.078008	1.000000		5.101893
0.055006	1.000000		5.800644
0.230623	0.906491		3.130290
0.612061	0.906491		1.178195
0.536454	1.000000		1.245550
0.862686	0.906491		0.491758
0.817082	1.000000		0.404032
0.458646	0.033603		8.345212
0.066607	1.000000		5.417901
0.350035	1.000000		2.099444
0.244024	1.000000		2.820974
0.036404	0.181218		10.042281
0.117212	0.906491		4.483896
0.324032	0.906491		2.450173
0.658066	0.181218		4.253008
0.458646	0.906491		1.755303
0.071807	0.906491		5.463891
0.117212	0.906491		4.483896
0.612061	0.906491		1.178195
0.490649	0.906491		1.620401
0.218422	1.000000		3.042654
0.244024	1.000000		2.820974
0.071807	1.000000		5.267542
0.684668	0.906491		0.953990
0.536454	1.000000		1.245550
0.296830	0.906491		2.625543
0.090209	1.000000		4.811252
0.548655	0.906491		1.396921
0.884888	1.000000		0.244587
0.403840	1.000000		1.813471
0.123612	1.000000		4.181209
0.157216	1.000000		3.700273
0.930693	1.000000		0.143651
0.071807	0.906491		5.463891
0.580058	0.906491		1.285603
0.296830	1.000000		2.429194
0.036404	0.181218		10.042281
0.230623	1.000000		2.933941
0.435044	1.000000		1.664618
0.490649	1.000000		1.424052
0.376238	1.000000		1.955069
0.324032	1.000000		2.253824
0.878088	0.906491		0.456366
0.375638	0.906491		2.154610
0.909491	1.000000		0.189740
0.403840	1.000000		1.813471
0.375638	0.906491		2.154610
0.926093	0.906491		0.349911
0.943094	1.000000		0.117178
0.036404	0.181218		10.042281
0.909491	1.000000		0.189740
0.676668	1.000000		0.781150
0.766077	0.906491		0.729295
0.177818	0.906491		3.650341
0.965097	0.906491		0.267403
0.197820	0.181218		6.656905
0.458646	0.906491		1.755303
0.066607	0.181218		8.834009
0.230623	0.906491		3.130290
0.218422	0.181218		6.458762
0.117212	1.000000		4.287547
0.230623	0.906491		3.130290
0.993299	1.000000		0.013446
0.633263	0.906491		1.110087
0.817082	0.906491		0.600381
0.375638	1.000000		1.958261
0.612061	0.906491		1.178195
0.612061	0.906491		1.178195
0.684668	1.000000		0.757641
0.536454	0.906491		1.441899
0.633263	1.000000		0.913738
0.849685	1.000000		0.325779
0.580058	0.906491		1.285603
0.782678	1.000000		0.490067
0.123612	1.000000		4.181209
0.435044	1.000000		1.664618
0.536454	1.000000		1.245550
0.350035	0.906491		2.295793
0.814081	0.906491		0.607739
0.375638	0.906491		2.154610
0.375638	1.000000		1.958261
0.950295	0.906491		0.298315
0.930693	1.000000		0.143651
0.024202	0.181218		10.858713
0.375638	1.000000		1.958261
0.878088	1.000000		0.260017
0.375638	0.906491		2.154610
0.296830	0.906491		2.625543
0.612061	0.906491		1.178195
0.271827	0.181218		6.021285
0.849685	0.906491		0.522128
0.840284	1.000000		0.348031
0.171817	0.906491		3.718998
0.157216	0.181218		7.116381
0.177818	1.000000		3.453992
0.676668	1.000000		0.781150
0.743074	1.000000		0.593918
0.171817	1.000000		3.522649
0.743074	1.000000		0.593918
0.971697	0.906491		0.253771
0.403840	1.000000		1.813471
0.375638	0.906491		2.154610
0.612061	0.181218		4.397954
0.548655	0.906491		1.396921
0.375638	0.906491		2.154610
0.465447	1.000000		1.529516
0.633263	0.181218		4.329846
0.536454	1.000000		1.245550
0.580058	0.906491		1.285603
0.490649	0.906491		1.620401
1.000000	0.906491		0.196349
0.029803	0.181218		10.442402
0.297030	1.000000		2.427846
0.071807	0.906491		5.463891
0.071807	1.000000		5.267542
0.519452	1.000000		1.309962
0.218422	1.000000		3.042654
0.878088	0.906491		0.456366
0.458646	0.906491		1.755303
0.230623	1.000000		2.933941
0.297030	1.000000		2.427846
0.324032	1.000000		2.253824
0.965097	0.906491		0.267403
0.612061	0.906491		1.178195
0.676668	0.906491		0.977499
0.878088	0.906491		0.456366
0.536454	0.906491		1.441899
0.612061	0.906491		1.178195
0.943094	1.000000		0.117178
0.930693	0.906491		0.340001
0.950295	1.000000		0.101966
0.943094	1.000000		0.117178
0.519452	1.000000		1.309962
0.580058	0.906491		1.285603
0.197820	1.000000		3.240798
0.817082	1.000000		0.404032
0.909491	0.181218		3.605848
0.943094	0.906491		0.313527
0.071807	0.906491		5.463891
0.817082	1.000000		0.404032
0.244024	1.000000		2.820974
0.296830	1.000000		2.429194
0.909491	0.906491		0.386090
0.465447	0.181218		4.945624
0.536454	0.906491		1.441899
0.519452	1.000000		1.309962
0.296830	1.000000		2.429194
0.548655	0.906491		1.396921
0.580058	1.000000		1.089254
0.736274	1.000000		0.612307
0.465447	1.000000		1.529516
0.117212	1.000000		4.287547
0.862686	1.000000		0.295408
0.766077	0.906491		0.729295
0.490649	1.000000		1.424052
0.817082	1.000000		0.404032
0.519452	1.000000		1.309962
0.676668	0.906491		0.977499
0.230623	0.906491		3.130290
0.117212	0.906491		4.483896
0.840284	1.000000		0.348031
0.177818	0.181218		6.870100
0.297030	1.000000		2.427846
0.580058	0.906491		1.285603
0.612061	0.906491		1.178195
0.458646	0.906491		1.755303
0.296830	0.906491		2.625543
0.004800	1.000000		10.678079
0.743074	1.000000		0.593918
0.230623	0.906491		3.130290
0.519452	0.906491		1.506311
0.376238	0.906491		2.151418
0.580058	0.906491		1.285603
0.117212	1.000000		4.287547
0.612061	1.000000		0.981846
0.197820	0.181218		6.656905
0.296830	0.181218		5.845301
0.536454	0.906491		1.441899
0.244024	1.000000		2.820974
0.612061	0.906491		1.178195
0.536454	1.000000		1.245550
0.375638	1.000000		1.958261
0.375638	1.000000		1.958261
0.943094	0.906491		0.313527
0.324032	0.906491		2.450173
0.490649	1.000000		1.424052
0.743074	0.906491		0.790268
0.044004	1.000000		6.246931
0.458646	0.906491		1.755303
0.766077	1.000000		0.532946
0.612061	1.000000		0.981846
0.943094	1.000000		0.117178
0.926093	0.906491		0.349911
0.743074	1.000000		0.593918
0.244024	1.000000		2.820974
0.971697	1.000000		0.057422
0.971697	1.000000		0.057422
0.230623	1.000000		2.933941
0.375638	0.906491		2.154610
0.840284	1.000000		0.348031
0.766077	1.000000		0.532946
0.782678	0.906491		0.686416
0.519452	1.000000		1.309962
0.297030	0.906491		2.624195
0.171817	0.906491		3.718998
0.458646	0.906491		1.755303
0.536454	0.906491		1.441899
0.612061	0.906491		1.178195
0.117212	1.000000		4.287547
0.926093	1.000000		0.153562
0.157216	0.181218		7.116381
0.789079	0.906491		0.670127
0.435044	1.000000		1.664618
0.536454	0.906491		1.441899
0.375638	0.906491		2.154610
0.296830	0.906491		2.625543
0.244024	0.181218		6.237082
0.375638	0.906491		2.154610
0.197820	1.000000		3.240798
0.458646	0.906491		1.755303
1.000000	0.906491		0.196349
0.612061	0.906491		1.178195
0.884888	1.000000		0.244587
0.066607	0.007201		15.285050
0.296830	0.906491		2.625543
0.580058	0.181218		4.505362
0.926093	0.906491		0.349911
0.676668	0.906491		0.977499
0.676668	0.906491		0.977499
0.612061	0.906491		1.178195
0.609061	1.000000		0.991674
0.736274	0.906491		0.808656
1.000000	0.906491		0.196349
0.684668	0.181218		4.173749
0.218422	1.000000		3.042654
0.713471	0.181218		4.091334
0.536454	0.906491		1.441899
0.930693	0.906491		0.340001
0.658066	0.906491		1.033250
0.375638	0.906491		2.154610
0.350035	0.181218		5.515552
0.658066	0.181218		4.253008
0.633263	1.000000		0.913738
0.884888	1.000000		0.244587
0.171817	1.000000		3.522649
0.117212	0.906491		4.483896
0.612061	1.000000		0.981846
0.736274	0.906491		0.808656
0.376238	1.000000		1.955069
